"id","bmi_0_5_height","bmi_0_5_sever_wasted","bmi_0_5_wasted_from","bmi_0_5_wasted_to","bmi_0_5_normal_from","bmi_0_5_normal_to","bmi_0_5_over_from","bmi_0_5_over_to","bmi_0_5_obese","bmi_0_5_sex","bmi_0_5_range"
"1","65.0","5.8","5.9","6.2","6.3","8.8","8.9","9.6","9.7","M","24-59"
"2","65.5","5.9","6.0","6.3","6.4","8.9","9.0","9.8","9.9","M","24-59"
"3","66.0","6.0","6.1","6.4","6.5","9.1","9.2","9.9","10.0","M","24-59"
"4","66.5","6.0","6.1","6.5","6.6","9.2","9.3","10.1","10.2","M","24-59"
"5","67.0","6.1","6.2","6.6","6.7","9.4","9.5","10.2","10.3","M","24-59"
"6","67.5","6.2","6.3","6.7","6.8","9.5","9.6","10.4","10.5","M","24-59"
"7","68.0","6.3","6.4","6.8","6.9","9.6","9.7","10.5","10.6","M","24-59"
"8","68.5","6.4","6.5","6.9","7.0","9.8","9.9","10.7","10.8","M","24-59"
"9","69.0","6.5","6.6","7.0","7.1","9.9","10.0","10.8","10.9","M","24-59"
"10","69.5","6.6","6.7","7.1","7.2","10.0","10.1","11.0","11.1","M","24-59"
"11","70.0","6.7","6.8","7.2","7.3","10.2","10.3","11.1","11.2","M","24-59"
"12","70.5","6.8","6.9","7.3","7.4","10.3","10.4","11.3","11.4","M","24-59"
"13","71.0","6.8","6.9","7.4","7.5","10.4","10.5","11.4","11.5","M","24-59"
"14","71.5","6.9","7.0","7.5","7.6","10.6","10.7","11.6","11.7","M","24-59"
"15","72.0","7.0","7.1","7.6","7.7","10.7","10.8","11.7","11.8","M","24-59"
"16","72.5","7.1","7.2","7.7","7.8","10.8","10.9","11.8","11.9","M","24-59"
"17","73.0","7.2","7.3","7.8","7.9","11.0","11.1","12.0","12.1","M","24-59"
"18","73.5","7.3","7.4","7.8","7.9","11.1","11.2","12.1","12.2","M","24-59"
"19","74.0","7.3","7.4","7.9","8.0","11.2","11.3","12.2","12.3","M","24-59"
"20","74.5","7.4","7.5","8.0","8.1","11.3","11.4","12.4","12.5","M","24-59"
"21","75.0","7.5","7.6","8.1","8.2","11.4","11.5","12.5","12.6","M","24-59"
"22","75.5","7.6","7.7","8.2","8.3","11.6","11.7","12.6","12.7","M","24-59"
"23","76.0","7.6","7.7","8.3","8.4","11.7","11.8","12.8","12.9","M","24-59"
"24","76.5","7.7","7.8","8.4","8.5","11.8","11.9","12.9","13.0","M","24-59"
"25","77.0","7.8","7.9","8.4","8.5","11.9","12.0","13.0","13.1","M","24-59"
"26","77.5","7.9","8.0","8.5","8.6","12.0","12.1","13.1","13.2","M","24-59"
"27","78.0","7.9","8.0","8.6","8.7","12.1","12.2","13.3","13.4","M","24-59"
"28","78.5","8.0","8.1","8.7","8.8","12.2","12.3","13.4","13.5","M","24-59"
"29","79.0","8.1","8.2","8.7","8.8","12.3","12.4","13.5","13.6","M","24-59"
"30","79.5","8.2","8.3","8.8","8.9","12.4","12.5","13.6","13.7","M","24-59"
"31","80.0","8.2","8.3","8.9","9.0","12.6","12.7","13.7","13.8","M","24-59"
"32","80.5","8.3","8.4","9.0","9.1","12.7","12.8","13.8","13.9","M","24-59"
"33","81.0","8.4","8.5","9.1","9.2","12.8","12.9","14.0","14.0","M","24-59"
"34","81.5","8.5","8.6","9.2","9.3","12.9","13.0","14.1","14.2","M","24-59"
"35","82.0","8.6","8.7","9.2","9.3","13.0","13.1","14.2","14.3","M","24-59"
"36","82.5","8.6","8.7","9.3","9.4","13.1","13.2","14.4","14.5","M","24-59"
"37","83.0","8.7","8.8","9.4","9.5","13.3","13.4","14.5","14.6","M","24-59"
"38","83.5","8.8","8.9","9.5","9.6","13.4","13.5","14.6","14.7","M","24-59"
"39","84.0","8.9","9.0","9.6","9.7","13.5","13.6","14.8","14.9","M","24-59"
"40","84.5","9.0","9.1","9.8","9.9","13.7","13.8","14.9","15.0","M","24-59"
"41","85.0","9.1","9.2","9.9","10.0","13.8","13.9","15.1","15.2","M","24-59"
"42","85.5","9.2","9.3","10.0","10.1","13.9","14.0","15.2","15.3","M","24-59"
"43","86.0","9.3","9.4","10.1","10.2","14.1","14.2","15.4","15.5","M","24-59"
"44","86.5","9.4","9.5","10.2","10.3","14.2","14.3","15.5","15.6","M","24-59"
"45","87.0","9.5","9.6","10.3","10.4","14.4","14.5","15.7","15.8","M","24-59"
"46","87.5","9.6","9.7","10.4","10.5","14.5","14.6","15.8","15.9","M","24-59"
"47","88.0","9.7","9.8","10.5","10.6","14.7","14.8","16.0","16.1","M","24-59"
"48","88.5","9.8","9.9","10.6","10.7","14.8","14.9","16.1","16.2","M","24-59"
"49","89.0","9.9","10.0","10.7","10.8","14.9","15.0","16.3","16.4","M","24-59"
"50","89.5","10.0","10.1","10.8","10.9","15.1","15.2","16.4","16.5","M","24-59"
"51","90.0","10.1","10.2","10.9","11.0","15.2","15.3","16.6","16.7","M","24-59"
"52","90.5","10.2","10.3","11.0","11.1","15.3","15.4","16.7","16.8","M","24-59"
"53","91.0","10.3","10.4","11.1","11.2","15.5","15.6","16.9","17.0","M","24-59"
"54","91.5","10.4","10.5","11.2","11.3","15.6","15.7","17.0","17.1","M","24-59"
"55","92.0","10.5","10.6","11.3","11.4","15.8","15.9","17.2","17.3","M","24-59"
"56","92.5","10.6","10.7","11.4","11.5","15.9","16.0","17.3","17.4","M","24-59"
"57","93.0","10.7","10.8","11.5","11.6","16.0","16.1","17.5","17.6","M","24-59"
"58","93.5","10.8","10.9","11.6","11.7","16.2","16.3","17.6","17.7","M","24-59"
"59","94.0","10.9","11.0","11.7","11.8","16.3","16.4","17.8","17.9","M","24-59"
"60","94.5","11.0","11.1","11.8","11.9","16.5","16.6","17.9","18.0","M","24-59"
"61","95.0","11.0","11.1","11.9","12.0","16.6","16.7","18.1","18.2","M","24-59"
