"caserate_code","caserate_desc","casetype","firstrate","firstpf","firsthosp","caseratecode"
"","","","0","0","0",
"10060","Incision and drainage of abscess (e.g., carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia)","P","3640","840","2800","CR0345"
"10080","Incision and drainage of pilonidal cyst","P","3640","840","2800","CR0346"
"10120","Incision and removal of foreign body, subcutaneous tissues","P","3640","840","2800","CR0347"
"10140","Incision and drainage of hematoma, seroma, or fluid collection","P","3640","840","2800","CR0348"
"10160","Puncture aspiration of abscess, hematoma, bulla, or cyst","P","3640","840","2800","CR0349"
"10180","Incision and drainage, complex, postoperative wound infection","P","5560","1260","4300","CR0410"
"11000","Debridement of extensive eczematous or infected skin","P","10540","5040","5500","CR1368"
"11010","Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin and subcutaneous tissues","P","10540","5040","5500","CR1369"
"11011","Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, and muscle","P","11980","5880","6100","CR1498"
"11012","Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, muscle, and bone","P","12120","6720","5400","CR1625"
"11040","Debridement; skin, partial thickness","P","3640","840","2800","CR0350"
"11041","Debridement; skin, full thickness","P","3640","840","2800","CR0351"
"11042","Debridement; skin, and subcutaneous tissue","P","5680","1680","4000","CR0481"
"11043","Debridement; skin, subcutaneous tissue, and muscle","P","8020","2520","5500","CR0693"
"11044","Debridement; skin, subcutaneous tissue, muscle, and bone","P","8020","2520","5500","CR0694"
"11050","Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; single lesion","P","3640","840","2800","CR0352"
"11051","Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; two to four lesions","P","5560","1260","4300","CR0411"
"11052","Paring or curettement of benign hyperkeratotic skin lesion w/ or w/o chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (e.g., callus or wart) w/ or w/o local anesthesia; more than four lesions","P","5680","1680","4000","CR0482"
"11100","Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single or multiple lesion","P","3640","840","2800","CR0353"
"11300","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less","P","5560","1260","4300","CR0412"
"11301","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm","P","3700","1344","2356","CR0604"
"11302","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm","P","8020","2520","5500","CR0695"
"11303","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm","P","8440","2940","5500","CR0856"
"11305","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less","P","5560","1260","4300","CR0413"
"11306","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","P","3700","1344","2356","CR0605"
"11307","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm","P","8020","2520","5500","CR0696"
"11308","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm","P","8440","2940","5500","CR0857"
"11310","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 0.5 cm or less","P","3700","1344","2356","CR0606"
"11311","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 0.6 to 1.0 cm","P","8020","2520","5500","CR0697"
"11312","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter 1.1 to 2.0 cm","P","8440","2940","5500","CR0858"
"11313","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose ,lips, mucous membrane; lesion diameter over 2.0 cm","P","8260","3360","4900","CR0897"
"11400","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 0.5 cm or less","P","3640","840","2800","CR0354"
"11401","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm","P","3640","840","2800","CR0355"
"11402","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm","P","3640","840","2800","CR0356"
"11403","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm","P","3640","840","2800","CR0357"
"11404","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm","P","3640","840","2800","CR0358"
"11406","Excision, benign lesion, except skin tag (unless listed elsewhere), trunk, arms or legs; lesion diameter over 4.0 cm","P","3640","840","2800","CR0359"
"11420","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less","P","3640","840","2800","CR0360"
"11421","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","P","3640","840","2800","CR0361"
"11422","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm","P","3640","840","2800","CR0362"
"11423","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm","P","3640","840","2800","CR0363"
"11424","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm","P","3640","840","2800","CR0364"
"11426","Excision, benign lesion, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm","P","3640","840","2800","CR0365"
"11440","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less","P","4108","1008","3100","CR0393"
"11441","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm","P","4108","1008","3100","CR0394"
"11442","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm","P","4108","1008","3100","CR0395"
"11443","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm","P","4108","1008","3100","CR0396"
"11444","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm","P","4108","1008","3100","CR0397"
"11446","Excision, other benign lesion (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm","P","4108","1008","3100","CR0398"
"11450","Excision of skin and subcutaneous tissue for hidradenitis, axillary","P","8020","2520","5500","CR0698"
"11462","Excision of skin and subcutaneous tissue for hidradenitis, inguinal","P","8020","2520","5500","CR0699"
"11470","Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal or umbilical","P","8020","2520","5500","CR0700"
"11600","Excision, malignant lesion, trunk, arms, or legs; lesion diameter 0.5 cm or less","P","5560","1260","4300","CR0414"
"11601","Excision, malignant lesion, trunk, arms, or legs; lesion diameter 0.6 to 1.0 cm","P","5560","1260","4300","CR0415"
"11602","Excision, malignant lesion, trunk, arms, or legs; lesion diameter 1.1 to 2.0 cm","P","5560","1260","4300","CR0416"
"11603","Excision, malignant lesion, trunk, arms, or legs; lesion diameter 2.1 to 3.0 cm","P","5560","1260","4300","CR0417"
"11604","Excision, malignant lesion, trunk, arms, or legs; lesion diameter 3.1 to 4.0 cm","P","5560","1260","4300","CR0418"
"11606","Excision, malignant lesion, trunk, arms, or legs; lesion diameter over 4.0 cm","P","5560","1260","4300","CR0419"
"11620","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less","P","5680","1680","4000","CR0483"
"11621","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","P","5680","1680","4000","CR0484"
"11622","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm","P","5680","1680","4000","CR0485"
"11623","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm","P","5680","1680","4000","CR0486"
"11624","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm","P","5680","1680","4000","CR0487"
"11626","Excision, malignant lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm","P","5680","1680","4000","CR0488"
"11640","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 0.5 cm or less","P","5680","1680","4000","CR0489"
"11641","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 0.6 to 1.0 cm","P","5680","1680","4000","CR0490"
"11642","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 1.1 to 2.0 cm","P","5680","1680","4000","CR0491"
"11643","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 2.1 to 3.0 cm","P","5680","1680","4000","CR0492"
"11644","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter 3.1 to 4.0 cm","P","5680","1680","4000","CR0493"
"11646","Excision, malignant lesion, face, ears, eyelids, nose, lips; lesion diameter over 4.0 cm","P","5680","1680","4000","CR0494"
"11720","Debridement of nail(s) by any method(s); one to five","P","3640","840","2800","CR0366"
"11721","Debridement of nail(s) by any method(s); six or more","P","5560","1260","4300","CR0420"
"11730","Avulsion of nail plate, partial or complete","P","3640","840","2800","CR0367"
"11740","Evacuation of subungual hematoma","P","3640","840","2800","CR0368"
"11750","Excision of nail and nail matrix, partial or complete (e.g., ingrown or deformed nail) for permanent removal","P","3640","840","2800","CR0369"
"11752","Excision of nail and nail matrix, partial or complete (e.g., ingrown or deformed nail) for permanent removal w/ amputation of tuft of distal phalanx","P","9300","2100","7200","CR0609"
"11755","Biopsy of nail unit, any method (e.g., plate, bed, matrix, hyponychium, proximal and lateral nail folds)","P","3640","840","2800","CR0370"
"11760","Repair of nail bed","P","5560","1260","4300","CR0421"
"11762","Reconstruction of nail bed w/ graft","P","9300","2100","7200","CR0610"
"11765","Wedge excision of skin of nail fold (e.g., for ingrown toenail)","P","3640","840","2800","CR0371"
"11770","Excision of pilonidal cyst or sinus","P","5680","1680","4000","CR0495"
"12001","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less","P","3640","840","2800","CR0372"
"12002","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm","P","5560","1260","4300","CR0422"
"12004","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm","P","5680","1680","4000","CR0496"
"12005","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm","P","5680","1680","4000","CR0497"
"12006","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm","P","5680","1680","4000","CR0498"
"12007","Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm","P","5680","1680","4000","CR0499"
"12011","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less","P","5680","1680","4000","CR0500"
"12013","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm","P","9300","2100","7200","CR0611"
"12014","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm","P","9552","2352","7200","CR0672"
"12015","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm","P","8020","2520","5500","CR0701"
"12016","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm","P","8020","2520","5500","CR0702"
"12017","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm","P","8020","2520","5500","CR0703"
"12018","Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm","P","8020","2520","5500","CR0704"
"12031","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); 2.5 cm or less","P","3640","840","2800","CR0373"
"12032","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm","P","5560","1260","4300","CR0423"
"12034","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm","P","5680","1680","4000","CR0501"
"12035","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm","P","5680","1680","4000","CR0502"
"12036","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm","P","5680","1680","4000","CR0503"
"12037","Layer closure of wounds of scalp, axillae, trunk, and/or extremities (excluding hands and feet); over 30.0 cm","P","5680","1680","4000","CR0504"
"12041","Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less","P","5680","1680","4000","CR0505"
"12042","Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm","P","9300","2100","7200","CR0612"
"12044","Layer closure of wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm","P","8020","2520","5500","CR0705"
"12045","Layer closure of wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm","P","8440","2940","5500","CR0859"
"12046","Layer closure of wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm","P","8260","3360","4900","CR0898"
"12047","Layer closure of wounds of neck, hands, feet and/or external genitalia; over 30.0 cm","P","10880","3780","7100","CR1035"
"12051","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 2.5 cm or less","P","5680","1680","4000","CR0506"
"12052","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 2.6 cm to 5.0 cm","P","5680","1680","4000","CR0507"
"12053","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 5.1 cm to 7.5 cm","P","8020","2520","5500","CR0706"
"12054","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 7.6 cm to 12.5 cm","P","8020","2520","5500","CR0707"
"12055","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 12.6 cm to 20.0 cm","P","8260","3360","4900","CR0899"
"12056","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; 20.1 cm to 30.0 cm","P","8260","3360","4900","CR0900"
"12057","Layer closure of wounds of face, ears, eyelids, nose, lips and/or mucous membrances; over 30.0 cm","P","9700","4200","5500","CR1092"
"14000","Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less","P","12120","6720","5400","CR1626"
"14001","Adjacent tissue transfer or rearrangement, trunk; defect 10.1 sq cm to 30.0 sq cm","P","12120","6720","5400","CR1627"
"14020","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less","P","10540","5040","5500","CR1370"
"14021","Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm","P","11980","5880","6100","CR1499"
"14040","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less","P","12120","6720","5400","CR1628"
"14041","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm","P","18000","8400","9600","CR1978"
"14060","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10 sq cm or less","P","18000","8400","9600","CR1979"
"14061","Adjacent tissue transfer or rearrangement, eyelids, nose, ears and/or lips; defect 10.1 sq cm to 30.0 sq cm","P","18000","8400","9600","CR1980"
"14300","Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area","P","18000","8400","9600","CR1981"
"14350","Filleted finger or toe flap, including preparation of recipient site","P","27120","15120","12000","CR3094"
"15050","Pinch graft, single or multiple, to cover small ulcer, tip or digit, or other minimal open area (except on face), up to defect size 2 cm diameter","P","8260","3360","4900","CR0901"
"15100","Split graft, trunk, scalp, arms, legs, hands, and/or feet (except multiple digits); 100 sq cm or less, or each one percent of body area of infants and children (except 15050)","P","8260","3360","4900","CR0902"
"15120","Split graft, face, eyelids, mouth, neck, ears, orbits, genitalia, and/or multiple digits; 100 sq cm or less, or each one percent of body area of infants and children (except 15050)","P","21940","9240","12700","CR2265"
"15200","Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less","P","21940","9240","12700","CR2266"
"15220","Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less","P","21940","9240","12700","CR2267"
"15240","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less","P","30740","13440","17300","CR2987"
"15260","Full thickness graft, free, including direct closure of donor site, nose, ears, eyelids, and/or lips; 20 sq cm or less","P","30300","16800","13500","CR3262"
"15350","Application of allograft, skin","P","30300","16800","13500","CR3263"
"15400","Application of xenograft, skin","P","30300","16800","13500","CR3264"
"15570","Formation of direct or tubed pedicle, w/ or w/o transfer; trunk","P","18000","8400","9600","CR1982"
"15572","Formation of direct or tubed pedicle, w/ or w/o transfer; scalp, arms, or legs","P","30740","13440","17300","CR2988"
"15574","Formation of direct or tubed pedicle, w/ or w/o transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet","P","30740","13440","17300","CR2989"
"15576","Formation of direct or tubed pedicle, w/ or w/o transfer; eyelids, nose, ears, lips or intraoral","P","30300","16800","13500","CR3265"
"15580","Cross finger flap, including free graft to donor site","P","21940","9240","12700","CR2268"
"15650","Transfer, intermediate, of any pedicle flap (e.g., abdomen to wrist, ""Walking"" tube), any location","P","21940","9240","12700","CR2269"
"15732","Muscle, myocutaneous, or fasciocutaneous flap; head and neck (e.g., temporalis, masseter, sternocleidomastoid, levator scapulae)","P","47340","26040","21300","CR4132"
"15734","Muscle, myocutaneous, or fasciocutaneous flap; trunk","P","47340","26040","21300","CR4133"
"15736","Muscle, myocutaneous, or fasciocutaneous flap; upper extremity","P","47340","26040","21300","CR4134"
"15738","Muscle, myocutaneous, or fasciocutaneous flap; lower extremity","P","47340","26040","21300","CR4135"
"15740","Flap; island pedicle","P","38640","21840","16800","CR3824"
"15750","Flap; neurovascular pedicle","P","38640","21840","16800","CR3825"
"15756","Free muscle flap w/ or w/o skin graft w/ microvascular anastomosis","P","38640","21840","16800","CR3826"
"15757","Free skin flap w/ microvascular anastomosis","P","38640","21840","16800","CR3827"
"15758","Free fascial flap w/ microvascular anastomosis","P","38640","21840","16800","CR3828"
"15760","Graft; composite (e.g., full thickness of external ear or nasal ala), including primary closure, donor area","P","21940","9240","12700","CR2270"
"15770","Graft; derma-fat-fascia","P","21940","9240","12700","CR2271"
"15820","Blepharoplasty, lower eyelid","P","10120","4620","5500","CR1318"
"15822","Blepharoplasty, upper eyelid;","P","10120","4620","5500","CR1319"
"15823","Blepharoplasty, upper eyelid; with excessive skin weighting down lid","P","11980","5880","6100","CR1481"
"15840","Graft for facial nerve paralysis; free fascia graft (including obtaining fascia)","P","30300","16800","13500","CR3266"
"15841","Graft for facial nerve paralysis; free muscle graft (including obtaining graft)","P","30300","16800","13500","CR3267"
"15842","Graft for facial nerve paralysis; free muscle graft by microsurgical technique","P","38640","21840","16800","CR3829"
"15845","Graft for facial nerve paralysis; regional muscle transfer","P","30300","16800","13500","CR3268"
"15920","Excision, coccygeal pressure ulcer, w/ coccygectomy; w/ primary suture","P","30740","13440","17300","CR2990"
"15922","Excision, coccygeal pressure ulcer, w/ coccygectomy; w/ flap closure","P","30300","16800","13500","CR3269"
"15931","Excision, sacral pressure ulcer, w/ primary suture;","P","21940","9240","12700","CR2272"
"15933","Excision, sacral pressure ulcer, w/ primary suture; w/ ostectomy","P","30740","13440","17300","CR2991"
"15934","Excision, sacral pressure ulcer, w/ skin flap closure;","P","12120","6720","5400","CR1629"
"15935","Excision, sacral pressure ulcer, w/ skin flap closure; w/ ostectomy","P","30300","16800","13500","CR3270"
"15936","Excision, sacral pressure ulcer, w/ muscle or myocutaneous flap closure;","P","38440","19740","18700","CR3613"
"15937","Excision, sacral pressure ulcer, w/ muscle or myocutaneous flap closure; w/ ostectomy","P","37800","21000","16800","CR3649"
"15940","Excision, ischial pressure ulcer, w/ primary suture;","P","12120","6720","5400","CR1630"
"15941","Excision, ischial pressure ulcer, w/ primary suture; w/ ostectomy (ischiectomy)","P","21940","9240","12700","CR2273"
"15944","Excision, ischial pressure ulcer, w/ skin flap closure;","P","30740","13440","17300","CR2992"
"15945","Excision, ischial pressure ulcer, w/ skin flap closure; w/ ostectomy","P","30300","16800","13500","CR3271"
"15946","Excision, ischial pressure ulcer, w/ ostectomy, w/ muscle or myocutaneous flap closure","P","38440","19740","18700","CR3614"
"15950","Excision, trochanteric pressure ulcer, w/ primary suture;","P","11980","5880","6100","CR1500"
"15951","Excision, trochanteric pressure ulcer, w/ primary suture; w/ ostectomy","P","21940","9240","12700","CR2274"
"15952","Excision, trochanteric pressure ulcer, w/ skin flap closure;","P","21940","9240","12700","CR2275"
"15953","Excision, trochanteric pressure ulcer, w/ skin flap closure; w/ ostectomy","P","30740","13440","17300","CR2993"
"15956","Excision, trochanteric pressure ulcer, w/ muscle or myocutaneous flap closure;","P","31140","17640","13500","CR3515"
"15958","Excision, trochanteric pressure ulcer, w/ muscle or myocutaneous flap closure; w/ ostectomy","P","38440","19740","18700","CR3615"
"16010","Dressings and/or debridement, initial or subsequent","P","8260","3360","4900","CR0903"
