"regcode","provcode","citycode","cityname","nscb_city_code","nscb_city_name","cityclassification","chartered","addedby","UserLevelID","dateupdated","status"
"01","0128","012801","ADAMS","012801","ADAMS",,,,,,
"01","0128","012802","BACARRA","012802","BACARRA",,,,,,
"01","0128","012803","BADOC","012803","BADOC",,,,,,
"01","0128","012804","BANGUI","012804","BANGUI",,,,,,
"01","0128","012805","BATAC","012805","BATAC",,,,,,
"01","0128","012806","BURGOS","012806","BURGOS",,,,,,
"01","0128","012807","CARASI","012807","CARASI",,,,,,
"01","0128","012808","CURRIMAO","012808","CURRIMAO",,,,,,
"01","0128","012809","DINGRAS","012809","DINGRAS",,,,,,
"01","0128","012810","DUMALNEG","012810","DUMALNEG",,,,,,
"01","0128","012811","BANNA (ESPIRITU)","012811","BANNA (ESPIRITU)",,,,,,
"01","0128","012812","LAOAG CITY (Capital)","012812","LAOAG CITY (Capital)",,,,,,
"01","0128","012813","MARCOS","012813","MARCOS",,,,,,
"01","0128","012814","NUEVA ERA","012814","NUEVA ERA",,,,,,
"01","0128","012815","PAGUDPUD","012815","PAGUDPUD",,,,,,
"01","0128","012816","PAOAY","012816","PAOAY",,,,,,
"01","0128","012817","PASUQUIN","012817","PASUQUIN",,,,,,
"01","0128","012818","PIDDIG","012818","PIDDIG",,,,,,
"01","0128","012819","PINILI","012819","PINILI",,,,,,
"01","0128","012820","SAN NICOLAS","012820","SAN NICOLAS",,,,,,
"01","0128","012821","SARRAT","012821","SARRAT",,,,,,
"01","0128","012822","SOLSONA","012822","SOLSONA",,,,,,
"01","0128","012823","VINTAR","012823","VINTAR",,,,,,
"01","0129","012901","ALILEM","012901","ALILEM",,,,,,
"01","0129","012902","BANAYOYO","012902","BANAYOYO",,,,,,
"01","0129","012903","BANTAY","012903","BANTAY",,,,,,
"01","0129","012904","BURGOS","012904","BURGOS",,,,,,
"01","0129","012905","CABUGAO","012905","CABUGAO",,,,,,
"01","0129","012906","CITY OF CANDON","012906","CITY OF CANDON",,,,,,
"01","0129","012907","CAOAYAN","012907","CAOAYAN",,,,,,
"01","0129","012908","CERVANTES","012908","CERVANTES",,,,,,
"01","0129","012909","GALIMUYOD","012909","GALIMUYOD",,,,,,
"01","0129","012910","GREGORIO DEL PILAR (CONCEPCION)","012910","GREGORIO DEL PILAR (CONCEPCION)",,,,,,
"01","0129","012911","LIDLIDDA","012911","LIDLIDDA",,,,,,
"01","0129","012912","MAGSINGAL","012912","MAGSINGAL",,,,,,
"01","0129","012913","NAGBUKEL","012913","NAGBUKEL",,,,,,
"01","0129","012914","NARVACAN","012914","NARVACAN",,,,,,
"01","0129","012915","QUIRINO (ANGKAKI)","012915","QUIRINO (ANGKAKI)",,,,,,
"01","0129","012916","SALCEDO (BAUGEN)","012916","SALCEDO (BAUGEN)",,,,,,
"01","0129","012917","SAN EMILIO","012917","SAN EMILIO",,,,,,
"01","0129","012918","SAN ESTEBAN","012918","SAN ESTEBAN",,,,,,
"01","0129","012919","SAN ILDEFONSO","012919","SAN ILDEFONSO",,,,,,
"01","0129","012920","SAN JUAN (LAPOG)","012920","SAN JUAN (LAPOG)",,,,,,
"01","0129","012921","SAN VICENTE","012921","SAN VICENTE",,,,,,
"01","0129","012922","SANTA","012922","SANTA",,,,,,
"01","0129","012923","SANTA CATALINA","012923","SANTA CATALINA",,,,,,
"01","0129","012924","SANTA CRUZ","012924","SANTA CRUZ",,,,,,
"01","0129","012925","SANTA LUCIA","012925","SANTA LUCIA",,,,,,
"01","0129","012926","SANTA MARIA","012926","SANTA MARIA",,,,,,
"01","0129","012927","SANTIAGO","012927","SANTIAGO",,,,,,
"01","0129","012928","SANTO DOMINGO","012928","SANTO DOMINGO",,,,,,
"01","0129","012929","SIGAY","012929","SIGAY",,,,,,
"01","0129","012930","SINAIT","012930","SINAIT",,,,,,
"01","0129","012931","SUGPON","012931","SUGPON",,,,,,
"01","0129","012932","SUYO","012932","SUYO",,,,,,
"01","0129","012933","TAGUDIN","012933","TAGUDIN",,,,,,
"01","0129","012934","CITY OF VIGAN (Capital)","012934","CITY OF VIGAN (Capital)",,,,,,
"01","0133","013301","AGOO","013301","AGOO",,,,,,
"01","0133","013302","ARINGAY","013302","ARINGAY",,,,,,
"01","0133","013303","BACNOTAN","013303","BACNOTAN",,,,,,
"01","0133","013304","BAGULIN","013304","BAGULIN",,,,,,
"01","0133","013305","BALAOAN","013305","BALAOAN",,,,,,
"01","0133","013306","BANGAR","013306","BANGAR",,,,,,
"01","0133","013307","BAUANG","013307","BAUANG",,,,,,
"01","0133","013308","BURGOS","013308","BURGOS",,,,,,
"01","0133","013309","CABA","013309","CABA",,,,,,
"01","0133","013310","LUNA","013310","LUNA",,,,,,
"01","0133","013311","NAGUILIAN","013311","NAGUILIAN",,,,,,
"01","0133","013312","PUGO","013312","PUGO",,,,,,
"01","0133","013313","ROSARIO","013313","ROSARIO",,,,,,
"01","0133","013314","CITY OF SAN FERNANDO (Capital)","013314","CITY OF SAN FERNANDO (Capital)",,,,,,
"01","0133","013315","SAN GABRIEL","013315","SAN GABRIEL",,,,,,
"01","0133","013316","SAN JUAN","013316","SAN JUAN",,,,,,
"01","0133","013317","SANTO TOMAS","013317","SANTO TOMAS",,,,,,
"01","0133","013318","SANTOL","013318","SANTOL",,,,,,
"01","0133","013319","SUDIPEN","013319","SUDIPEN",,,,,,
"01","0133","013320","TUBAO","013320","TUBAO",,,,,,
"01","0155","015501","AGNO","015501","AGNO",,,,,,
"01","0155","015502","AGUILAR","015502","AGUILAR",,,,,,
"01","0155","015503","CITY OF ALAMINOS","015503","CITY OF ALAMINOS",,,,,,
"01","0155","015504","ALCALA","015504","ALCALA",,,,,,
"01","0155","015505","ANDA","015505","ANDA",,,,,,
"01","0155","015506","ASINGAN","015506","ASINGAN",,,,,,
"01","0155","015507","BALUNGAO","015507","BALUNGAO",,,,,,
"01","0155","015508","BANI","015508","BANI",,,,,,
"01","0155","015509","BASISTA","015509","BASISTA",,,,,,
"01","0155","015510","BAUTISTA","015510","BAUTISTA",,,,,,
"01","0155","015511","BAYAMBANG","015511","BAYAMBANG",,,,,,
"01","0155","015512","BINALONAN","015512","BINALONAN",,,,,,
"01","0155","015513","BINMALEY","015513","BINMALEY",,,,,,
"01","0155","015514","BOLINAO","015514","BOLINAO",,,,,,
"01","0155","015515","BUGALLON","015515","BUGALLON",,,,,,
"01","0155","015516","BURGOS","015516","BURGOS",,,,,,
"01","0155","015517","CALASIAO","015517","CALASIAO",,,,,,
"01","0155","015518","DAGUPAN CITY","015518","DAGUPAN CITY",,,,,,
"01","0155","015519","DASOL","015519","DASOL",,,,,,
"01","0155","015520","INFANTA","015520","INFANTA",,,,,,
"01","0155","015521","LABRADOR","015521","LABRADOR",,,,,,
"01","0155","015522","LINGAYEN (Capital)","015522","LINGAYEN (Capital)",,,,,,
"01","0155","015523","MABINI","015523","MABINI",,,,,,
"01","0155","015524","MALASIQUI","015524","MALASIQUI",,,,,,
"01","0155","015525","MANAOAG","015525","MANAOAG",,,,,,
"01","0155","015526","MANGALDAN","015526","MANGALDAN",,,,,,
"01","0155","015527","MANGATAREM","015527","MANGATAREM",,,,,,
"01","0155","015528","MAPANDAN","015528","MAPANDAN",,,,,,
"01","0155","015529","NATIVIDAD","015529","NATIVIDAD",,,,,,
"01","0155","015530","POZZORUBIO","015530","POZZORUBIO",,,,,,
"01","0155","015531","ROSALES","015531","ROSALES",,,,,,
"01","0155","015532","SAN CARLOS CITY","015532","SAN CARLOS CITY",,,,,,
"01","0155","015533","SAN FABIAN","015533","SAN FABIAN",,,,,,
"01","0155","015534","SAN JACINTO","015534","SAN JACINTO",,,,,,
"01","0155","015535","SAN MANUEL","015535","SAN MANUEL",,,,,,
"01","0155","015536","SAN NICOLAS","015536","SAN NICOLAS",,,,,,
"01","0155","015537","SAN QUINTIN","015537","SAN QUINTIN",,,,,,
"01","0155","015538","SANTA BARBARA","015538","SANTA BARBARA",,,,,,
