"commodity_code","comprogram_code","comtype_code","commodity_desc","uom_code","id","lot_no"
"001001000001","001","001001","Azithromycin 500mg","TAB49","000001","Y"
"001001000081","001","001001","Benzathine Penicillin 1,200,000 unit","00011","000081","Y"
"001001000082","001","001001","Cefixime 200mg, 30's","CAPSU","000082","Y"
"001001000083","001","001001","Ciprofloxacin 500mg","TAB49","000083","Y"
"001001000084","001","001001","Clarithromycin 500mg","TAB49","000084","Y"
"001001000085","001","001001","Condom","PC","000085","Y"
"001001000325","001","001001","Abacavir 300mg Tabs of 60's","BOT","000325","Y"
"001001000326","001","001001","Efavirenz 50mg tabs of 30's","BOT","000326","Y"
"001001000327","001","001001","Efavirenz 600mg tabs of 30's","BOT","000327","Y"
"001001000328","001","001001","Indinavir 400mg caps of 180's(CRIXIVAN)","BOT","000328","Y"
"001001000329","001","001001","Lamivudine 150mg/Zidovudine 300mg 60's(AVOCOMB)","BOT","000329","Y"
"001001000330","001","001001","Lamivudine 150mg+Stavudine 30mg 60's(COVIRO-LS)","BOT","000330","Y"
"001001000331","001","001001","Lamivudine 150mg 60's(AVOLAM)","BOT","000331","Y"
"001001000332","001","001001","Lamivudine Oral Solution 10mg/ml 240ml","BOT","000332","Y"
"001001000333","001","001001","Lopinavir 200mg/Pitonavir 50mg,120's","BOT","000333","Y"
"001001000334","001","001001","Nevirapine 200mg 60's(NEVIPAN)","BOT","000334","Y"
"001001000335","001","001001","Nevirapine Oral Suspension 10mg/ml,240ml","BOT","000335","Y"
"001001000336","001","001001","Tinofovir 300mg,30's","BOT","000336","Y"
"001001000337","001","001001","Zidovudine 300mg,60's(AVIRO-Z)","BOT","000337","Y"
"001001000338","001","001001","Zidovudine Oral Solution 10mg/ml,240ml","BOT","000338","Y"
"001001000379","001","001001","Hepatitis B Vaccine 1dose for Adult","00011","000379","Y"
"001001000508","001","001001","Oseltamivir 75 mg 10's (Meyerf)","CAPSU","000508","Y"
"001001000525","001","001001","Phneomococcal Polyvalent Vaccines","00011","000525","Y"
"001001001217","001","001001","Indinavir 400mg","TAB49","001217","Y"
