"comtype_code","comtype_desc","comprogram_code","id"
"001001","Drugs and Medicines","001","001"
"001058","Medical Supplies/Devices","001","058"
"001081","Other Supplies","001","081"
"002002","Medical Supplies / Devices","002","002"
"002006","Drugs and Medicines","002","006"
"002097","Other Supplies","002","097"
"002098","Equipment","002","098"
"003003","Drugs and Medicines","003","003"
"003090","Other Supplies","003","090"
"003091","Medical Supplies/Devices","003","091"
"004004","Drugs and Medicines","004","004"
"004054","Other Supplies","004","054"
"004055","Medical Supplies / Devices","004","055"
"004056","Equipment / Instruments","004","056"
"005005","Drugs and Medicines","005","005"
"005063","Medical Supplies/Devices","005","063"
"005064","Equipment","005","064"
"005065","Other Supplies","005","065"
"006007","Drugs and Medicines","006","007"
"006083","Medical Supplies / Devices","006","083"
"006084","Other Supplies","006","084"
"007008","Drugs and Medicines","007","008"
"007047","Medical Supplies / Devices","007","047"
"007048","Other Supplies","007","048"
"008010","Drugs and Medicines","008","010"
"008025","Medical Supplies / Devices","008","025"
"009014","Drugs and Medicines","009","014"
"010013","Drugs and Medicines","010","013"
"010104","Other Supplies","010","104"
"010105","Medical Supplies/Devices","010","105"
"010106","Equipment","010","106"
"011012","Drugs and Medicines","011","012"
"011023","Medical Supplies / Devices","011","023"
"011082","Other Supplies","011","082"
"012020","Drugs and Medicines","012","020"
"012073","Medical Supplies/Devices","012","073"
"012074","Equipment","012","074"
"012075","Other Supplies","012","075"
"013021","Drugs and Medicines","013","021"
"013101","Other Supplies","013","101"
"013102","Medical Supplies/Devices","013","102"
"013103","Equipment","013","103"
"014009","Drugs and Medicines","014","009"
"015015","Other Supplies","015","015"
"015016","Equipment / Instruments","015","016"
"015019","Drugs and Medicines","015","019"
"015080","Medical Supplies/Devices","015","080"
"016017","Drugs and Medicines","016","017"
"016024","Medical Supplies / Devices","016","024"
"016049","Other Supplies","016","049"
"017018","Drugs and Medicines","017","018"
"017092","Other Supplies","017","092"
"017093","Medical Supplies / Devices","017","093"
"018022","Drugs and Medicines","018","022"
"018067","Medical Supplies/Devices","018","067"
"018068","Equipment","018","068"
"018069","Other Supplies","018","069"
"019026","Drugs and Medicines","019","026"
"020027","Drugs and Medicines","020","027"
"021028","Drugs and Medicines","021","028"
"022030","Equipment / Instruments","022","030"
"022031","Supplies","022","031"
"022035","Medical Supplies / Devices","022","035"
"022036","Drugs and Medicines","022","036"
"022050","Other Supplies","022","050"
"023034","Other Supplies","023","034"
"023037","Drugs and Medicines","023","037"
"023038","Medical Supplies / Devices","023","038"
"023039","Equipment / Instruments","023","039"
"025032","Medical Supplies / Devices","025","032"
"025094","Other Supplies","025","094"
"025095","Drugs & Medicines","025","095"
"025096","Equipment","025","096"
"026033","Medical Supplies / Devices","026","033"
"026070","Drugs & Medicines","026","070"
"026071","Equipment","026","071"
"026072","Other Supplies","026","072"
"027040","Other Supplies","027","040"
"027041","Drugs and Medicines","027","041"
"027042","Medical Supplies / Devices","027","042"
"028043","Drugs and Medicines","028","043"
"028044","Medical Supplies / Devices","028","044"
"028045","Other Supplies","028","045"
"028046","Equipment / Instruments","028","046"
"029051","Drugs and Medicines","029","051"
"030052","Drugs and Medicines","030","052"
"030089","Other Supplies","030","089"
"031053","Drugs and Medicines","031","053"
"031107","OTHER SUPPLIES","031","107"
"032059","Drugs & Medicines","032","059"
"032060","Medical Supplies/Devices","032","060"
"032062","Other Supplies","032","062"
"032066","Equipment","032","066"
"033076","Other Supplies","033","076"
"033077","Drugs and Medicines","033","077"
"033078","Medical Supplies/Devices","033","078"
"033079","Equipment/Instruments","033","079"
"034085","Drugs and Medicines","034","085"
"034086","Medical Supplies/Devices","034","086"
"034087","Equipment/Instruments","034","087"
"034088","Other Supplies","034","088"
"035099","Drugs and Medicines","035","099"
"035100","Medical Supplies","035","100"
"035113","Other Supplies","035","113"
"036108","Equipment/Instrument","036","108"
"037109","Drugs & Medicines","037","109"
"037110","Medical Supplies/Devices","037","110"
"037111","Equipment","037","111"
"037112","Other Supplies","037","112"
"038114","Drugs and Medicines","038","114"
"039001","Drugs and Medicines","039","100"
"039101","Medical Supplies/Devices","039","101"
"039102","Equipment","039","102"
"039103","Other Supplies","039","103"
