"hprodid","Drug_Code","hprodname","Drug_Name","brandname","brandcode","genname","gencode","rtedesc","rtecode","formdesc","formcode","stredesc","strecode","edl","pndf_classification","sales_category","expiry_date","issue_date","status","inc","pprice","sprice","reorder","cprno","packcode","packdesc","altcode","oldcode","mdrprice","mdrp_dateasof","price_indicator","seq_no","manu_name"
"03SOD1H900SOL1500952008453","03SODSOL151H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution Irrigation , ANHUI DOUBLE CRANE PHARMA'L CO., LTD , 500 mL Clear polypropylene plastic container","0.9% Sodium Chloride  SOLUTION IRRIGATION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION IRRIGATION","SOL15","100 mL /900 mg","1H900","Y","","","11/2/2013","11/2/2010","I","0","0","0","0","DR-XY37446","00952","500 mL Clear polypropylene plastic container","","","0","0/0/0","","","Anhui Double Crane Pharma'l Co., Ltd"
"03SOD1H900SOL3500048005333","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , SALNOR , 1 L LDPE bottle (nipped head)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Salnor","S1502","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","N","","","17/9/2014","17/9/2009","I","0","0","0","0","DR-XY36670","00048","1 L LDPE bottle (nipped head)","","","0","0/0/0","","","Claris Lifesciences Ltd"
"03SOD1H900SOL3500294008444","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , B. BRAUN MEDICAL INDUSTRIES SDN BHD , 100 mL Plastic bottle (ecoflac plus twin port)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","25/10/2014","18/11/2009","R","0","0","0","0","DR-XY12424","00294","100 mL Plastic bottle (ecoflac plus twin port)","","","0","0/0/0","","","B. Braun Medical Industries Sdn Bhd"
"03SOD1H900SOL3500319005626","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , MINI-BAG PLUS , 100 mL Vialflex bag","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Mini-Bag Plus","M1573","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","4/5/2015","4/5/2010","I","0","0","0","0","DR-XY37888","00319","100 mL Vialflex bag","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3500320008445","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , 100 mL Vialflex bag in HDPE overpouch","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/3/2015","11/3/2010","I","0","0","0","0","DR-XY37574","00320","100 mL Vialflex bag in HDPE overpouch","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3500324005627","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , NIR-NS , 1000 mL Plastic bottle","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Nir-Ns","N1532","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","14/10/2014","14/10/2009","I","0","0","0","0","DR-XY36802","00324","1000 mL Plastic bottle","","","0","0/0/0","","","Nirma Ltd"
"03SOD1H900SOL3500325008446","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , B. BRAUN MEDICAL INDUSTRIES SDN BHD , 1000 mL Plastic bottle (ecoflac plus twin port)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","25/10/2014","18/11/2009","R","0","0","0","0","DR-XY12424","00325","1000 mL Plastic bottle (ecoflac plus twin port)","","","0","0/0/0","","","B. Braun Medical Industries Sdn Bhd"
"03SOD1H900SOL3500327005628","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , MASCOL NS , 1000 mL Polythylene bottle w/ eurocap","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Mascol Ns","M1517","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","14/1/2015","14/1/2010","I","0","0","0","0","DR-XY37349","00327","1000 mL Polythylene bottle w/ eurocap","","","0","0/0/0","","","Mac & Rains Pharma'l Pvt Ltd"
"03SOD1H900SOL3500329008449","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , 1000 mL Vialflex bag in HDPE overpouch","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/3/2015","11/3/2010","I","0","0","0","0","DR-XY37574","00329","1000 mL Vialflex bag in HDPE overpouch","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3500645008450","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , 2000 mL Vialflex bag in HDPE overpouch","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/3/2015","11/3/2010","I","0","0","0","0","DR-XY37574","00645","2000 mL Vialflex bag in HDPE overpouch","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3500687008451","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , 250 mL Vialflex bag in HDPE overpouch","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/3/2015","11/3/2010","I","0","0","0","0","DR-XY37574","00687","250 mL Vialflex bag in HDPE overpouch","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3500952008454","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , ANHUI DOUBLE CRANE PHARMA'L CO., LTD , 500 mL Clear polypropylene plastic container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/2/2013","11/2/2010","R","0","0","0","0","DR-XY37447","00952","500 mL Clear polypropylene plastic container","","","0","0/0/0","","","Anhui Double Crane Pharma'l Co., Ltd"
"03SOD1H900SOL3500957006192","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , SALNOR , 500 mL LDPE bottle (nipped head)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Salnor","S1502","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","N","","","17/9/2014","17/9/2009","I","0","0","0","0","DR-XY36670","00957","500 mL LDPE bottle (nipped head)","","","0","0/0/0","","","Claris Lifesciences Ltd"
"03SOD1H900SOL3500960006193","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , NORSALIN , 500 mL Non-PVC (Unibag)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Norsalin","N1547","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","8/10/2014","8/10/2009","I","0","0","0","0","DR-XY36772","00960","500 mL Non-PVC (Unibag)","","","0","0/0/0","","","Claris Lifescience Ltd"
"03SOD1H900SOL3500961006194","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , NIR-NS , 500 mL Plastic bottle","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Nir-Ns","N1532","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","14/10/2014","14/10/2009","I","0","0","0","0","DR-XY36802","00961","500 mL Plastic bottle","","","0","0/0/0","","","Nirma Ltd"
"03SOD1H900SOL3500962008455","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , B. BRAUN MEDICAL INDUSTRIES SDN BHD , 500 mL Plastic bottle (ecoflac plus twin port)","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","25/10/2014","18/11/2009","R","0","0","0","0","DR-XY12424","00962","500 mL Plastic bottle (ecoflac plus twin port)","","","0","0/0/0","","","B. Braun Medical Industries Sdn Bhd"
"03SOD1H900SOL3500964006195","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , MASCOL NS , 500 mL Polythylene bottle w/ eurocap","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","Mascol Ns","M1517","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","14/1/2015","14/1/2010","I","0","0","0","0","DR-XY37349","00964","500 mL Polythylene bottle w/ eurocap","","","0","0/0/0","","","Mac & Rains Pharma'l Pvt Ltd"
"03SOD1H900SOL3500973008457","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , 500 mL Vialflex bag in HDPE overpouch","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","11/3/2015","11/3/2010","I","0","0","0","0","DR-XY37574","00973","500 mL Vialflex bag in HDPE overpouch","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502209008458","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (100 mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02209","Polyvinyl chloride w/ HDPE over pouch plastic bag (100 mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
