"ethnic_code","ethnic_desc"
"1","Bicolano"
"2","Ibanag"
"3","Ilocano"
"4","Ivatan"
"5","Kapampangan"
"7","Pangasinense"
"8","Sambal"
"9","Subanon"
"10","Tagalog"
"11","Visayan"
"12","Chavacanos"
"13","Badjao"
"14","Igorot"
"15","Ilongots"
"16","Lumad"
"17","Mangyan"
"18","Negrito"
"19","Batak"
"20","Palawan"
"21","Kagayanen"
"22","Molbog"
"23","Tagbanwa"
"24","Taaw't Bato"
"25","Tumandok"
"26","Ayangan"
"27","Tuwali"
"28","Tausug"
"29","Maranao"
"30","Maguindanaon"
"31","Sama'ah"
"32","Iranon"
"33","Mandaya"
"34","Manobo"
"35","Abelling/ Abellen/ Aberling"
"36","Adasen"
"37","Aeta"
"38","Agta"
"39","Agta/Cimaron"
"40","Agta-Agay"
"41","Agta-Dumagat"
"42","Agta-Tabangon"
"43","Agta-Taboy"
"44","Agutaynen"
"45","Akeanon"
"46","Alangan(Mangyan"
"47","Ambala"
"48","Applai"
"49","Aromanen-Manobo"
"50","Ata"
"51","Ata/Negrito"
"52","Ata-Manobo"
"53","Ati"
"54","Bolaan/Blaan"
"55","Bago"
"56","Bagobo"
"57","Bagobo-Tagabawa"
"58","Bajao/Bajau"
"59","Balangao"
"60","Balatok"
"61","Baliwon/Gaddang"
"62","Banao"
"63","Bangon"
"64","Bantaonon"
"65","Banwaon"
"66","Batangan"
"67","Belwang"
"68","Binongan"
"69","Bontok"
"70","Bugkalot/Ilongot"
"71","Buhid (Mangyan)"
"72","Bukidnon"
"73","Cagayanen"
"74","Calinga"
"75","Clata"
"76","Cuyonen"
"77","Diangan"
"78","Dibabawon"
"79","Dibabeen Mulitaan"
"80","Dibaben"
"81","Direrayaan"
"82","Dumagat"
"83","Dumagat/Alta"
"84","Eskaya"
"85","Gaddang"
"86","Gubang"
"87","Gubatnon"
"88","Guiangan"
"89","Halawodnon"
"90","Hanunuo"
"91","Henanga"
"92","Higaonon"
"93","Ibaloi"
"94","Ibatan"
"95","Ifugao"
"96","Ilianen"
"97","Illaud"
"98","Iraya"
"99","Isinai"
"100","Isneg/Isnag/   Apayao"
"101","Isoroken"
"102","Itawis"
"103","Itneg/Tingguian"
"104","Iwak"
"105","Kabayukan"
"106","Kabihug"
"107","Kadaklan"
"108","Kailawan"
"109","Kalagan"
"110","Kalanguya"
"111","Kalanguya-Ikalahan"
"112","Kalibugan"
"113","Kalinga"
"114","Kamiguin"
"115","Kankanaey"
"116","Karao"
"117","Karulano"
"118","Kaunana"
"119","Ke?ney Tau?t Bato"
"120","Kirenteken"
"121","Lahitanen"
"122","Lambiangan"
"123","Langilan"
"124","Livunganen"
"125","Mabaka"
"126","Maeng"
"127","Magahat"
"128","Mag-anti/Mag-antis/Mag-anchi"
"129","Magbekin/Magbukon/Magbukun"
"130","Mag-indi"
"131","Magkunana"
"132","Majakayong"
"133","Malaueg"
"134","Mamanwa"
"135","Mangguangan"
"136","Manobo-Bliit"
"137","Manobo-Dulangan"
"138","Mansaka"
"139","Manobo-Ubo"
"140","Masadiit"
"141","Matigsalog"
"142","Muyadan"
"143","Pala?wan"
"144","Pan-ayanon"
"145","Panay-Bukidnon"
"146","Parananum"
"147","Pulangien/   Pulangiyen"
"148","Ratagnon"
"149","Remontado"
"150","Sama-Badjao"
"151","Sama-Bangingi (Banging)"
"152","Sama/Samal"
"153","Sangil"
"154","Sibuyan Mangyan Tagabukid"
"155","Subanen /Subanon/ Subanun"
"156","T?boli"
"157","Tadyawan"
"158","Tagabawa"
"159","Tagakaulo"
"160","Tagbanua"
"161","Tagbanua  (Kalamianen)"
"162","Tagbanua/  Calamian"
"163","Talaandig"
"164","Talaingod"
"165","Tau-buid"
"166","Teduray"
"167","Tigwahanon"
"168","Tinananen"
"169","Yogad"
"170","Yapayao"
"171","Zambal"
"172","Iranon/Iranun Iraynon"
"173","Jama Mapun"
"174","Sama Laut"
"175","Palawani"
"176","Yakan"
