"id","fhudcode","lat","lng"
"18249","DOH000000000000006","14.2352209","121.1401998"
"18250","DOH000000000000008","7.0285201","126.2829666"
"18251","DOH000000000000009","6.7210002","125.3393097"
"18252","DOH000000000000011","16.3921700","122.2123108"
"18253","DOH000000000000013","14.6156797","121.0634232"
"18254","DOH000000000000014","10.5099001","121.9390793"
"18255","DOH000000000000015","9.8912096","123.8701706"
"18256","DOH000000000000016","9.8968697","124.2741699"
"18257","DOH000000000000017","7.3358002","126.5641174"
"18258","DOH000000000000018","11.1479197","124.4711838"
"18259","DOH000000000000021","14.6278496","121.0465775"
"18260","DOH000000000000022","14.6878405","121.0376434"
"18261","DOH000000000000025","16.3407707","121.6848068"
"18262","DOH000000000000026","6.6191902","125.2549591"
"18263","DOH000000000000027","8.0698299","123.5405807"
"18264","DOH000000000000028","8.0057402","123.4869537"
"18265","DOH000000000000030","14.8491697","120.2938232"
"18266","DOH000000000000031","14.9648399","120.6334915"
"18267","DOH000000000000032","11.4912205","119.8672333"
"18268","DOH000000000000033","16.5761204","120.6072006"
"18269","DOH000000000000035","6.8970399","126.0111618"
"18270","DOH000000000000036","6.9636502","126.0132065"
"18271","DOH000000000000037","7.5345802","125.6214600"
"18272","DOH000000000000038","6.2139702","124.7134399"
"18273","DOH000000000000039","8.0598602","122.5289230"
"18274","DOH000000000000040","10.6412697","122.2339783"
"18275","DOH000000000000041","11.7772198","122.2607803"
"18276","DOH000000000000042","7.9907398","122.8451385"
"18277","DOH000000000000043","7.8212299","122.1640091"
"18278","DOH000000000000044","6.3313398","124.9516907"
"18279","DOH000000000000046","16.4746799","120.6328964"
"18280","DOH000000000000048","11.4734602","124.5750885"
"18281","DOH000000000000049","15.6236095","120.6483078"
"18282","DOH000000000000050","14.3807400","121.4783540"
"18283","DOH000000000000053","10.7941999","124.9360962"
"18284","DOH000000000000054","7.8243799","126.0520172"
"18285","DOH000000000000055","11.5862999","122.4985123"
"18286","DOH000000000000061","10.7812796","122.4644775"
"18287","DOH000000000000062","9.7623501","124.4860916"
"18288","DOH000000000000063","7.8181200","123.3622894"
"18289","DOH000000000000064","8.2327900","122.9990234"
"18290","DOH000000000000065","7.5125799","123.1705170"
"18291","DOH000000000000066","7.7287598","123.3214264"
"18292","DOH000000000000067","8.0929899","123.4840927"
"18293","DOH000000000000068","9.7816896","124.1458130"
"18294","DOH000000000000069","11.7214298","122.0932083"
"18295","DOH000000000000070","6.7105198","125.2159882"
"18296","DOH000000000000071","9.7074003","124.4007492"
"18297","DOH000000000000072","10.0803299","124.3433533"
"18298","DOH000000000000073","9.6514502","124.3713226"
"18299","DOH000000000000074","9.9866505","124.3382263"
"18300","DOH000000000000075","14.4024670","121.4680500"
"18301","DOH000000000000076","8.2139597","126.3158417"
"18302","DOH000000000000077","11.1793098","119.3905334"
"18303","DOH000000000000080","16.5348396","120.7042389"
"18304","DOH000000000000081","17.5639305","120.6509171"
"18305","DOH000000000000082","7.1904898","125.4590225"
"18306","DOH000000000000083","17.6934395","120.6648483"
"18307","DOH000000000000084","16.6511307","121.2182922"
"18308","DOH000000000000085","16.9788799","121.3166809"
"18309","DOH000000000000086","7.9855399","117.0655823"
"18310","DOH000000000000087","12.8649998","121.4555893"
"18311","DOH000000000000089","6.5003099","124.8445282"
"18312","DOH000000000000090","7.5390801","125.7551727"
"18313","DOH000000000000091","6.9631300","125.0858231"
"18314","DOH000000000000094","10.3734303","124.7469330"
"18315","DOH000000000000095","17.3121109","121.6033173"
"18316","DOH000000000000096","11.3709497","124.4869003"
"18317","DOH000000000000099","15.7119303","120.3602676"
"18318","DOH000000000000100","10.7010002","121.9739990"
"18319","DOH000000000000101","12.5903997","121.5170364"
"18320","DOH000000000000102","14.7162905","121.1013107"
"18321","DOH000000000000105","16.5921497","121.5038528"
"18322","DOH000000000000106","16.7338409","121.6452332"
"18323","DOH000000000000107","11.4744101","122.8249207"
"18324","DOH000000000000109","11.8196602","122.1591415"
"18325","DOH000000000000110","8.5109501","123.2824097"
"18326","DOH000000000000111","7.8273201","123.4351273"
"18327","DOH000000000000112","7.8312802","123.4401398"
"18328","DOH000000000000113","6.8987398","122.1179504"
"18329","DOH000000000000114","9.7199697","124.0390091"
"18330","DOH000000000000115","10.9569397","123.3098297"
"18331","DOH000000000000116","18.0638199","120.5620575"
"18332","DOH000000000000117","13.4029102","123.7077408"
"18333","DOH000000000000119","8.6095600","124.8918610"
"18334","DOH000000000000120","14.8292999","120.2755966"
"18335","DOH000000000000121","17.4034595","121.4137115"
"18336","DOH000000000000122","16.8821106","121.5841370"
"18337","DOH000000000000123","11.4702501","123.0849228"
"18338","DOH000000000000125","14.8475599","120.2838211"
"18339","DOH000000000000126","13.7904840","121.0245730"
"18340","DOH000000000000128","14.5425997","120.4197922"
"18341","DOH000000000000129","7.0265198","124.3865204"
"18342","DOH000000000000130","9.9115295","125.2765884"
"18343","DOH000000000000131","10.6058502","124.9644165"
"18344","DOH000000000000132","17.1263199","122.0101013"
"18345","DOH000000000000133","9.9165401","125.0723190"
