"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"BAGONG POOK DIST. III (DEL REMEDIO HC)",,"DOH000000000000005","04","0456","QUEZON"," ",,"RHU",
"IGPIT BARANGAY HEALTH STATION",,"DOH000000000000006","11","1124","DAVAO DEL SUR","112403","CITY OF DIGOS (Capital)","BHS",
"LAUREN BARANGAY HEALTH STATION",,"DOH000000000000007","01","0155","PANGASINAN","015544","UMINGAN","BHS",
"LIMOT BARANGAY HEALTH STATION",,"DOH000000000000008","11","1125","DAVAO ORIENTAL","112511","TARRAGONA","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000000009","11","1124","DAVAO DEL SUR","112404","HAGONOY","BHS",
"URBIZTONDO RURAL HEALTH UNIT",,"DOH000000000000010","01","0155","PANGASINAN","015545","URBIZTONDO","RHU",
"DILASAG RURAL HEALTH UNIT",,"DOH000000000000011","03","0377","AURORA","037703","DILASAG","RHU",
"MURPHY SUPER HEALTH CENTER",,"DOH000000000000013","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"TOBIAS FORNIER RURAL HEALTH UNIT","TOBIAS FORNIER RHU ","DOH000000000000014","06","0606","ANTIQUE","060607","TOBIAS FORNIER (DAO)","RHU","P06024705"
"CALAPE MAIN HEALTH TB DOTS AND BIRTHING CENTER","CALAPE RURAL HEALTH UNIT","DOH000000000000015","07","0712","BOHOL","071210","CALAPE","RHU","P07024902"
"DAGOHOY RURAL HEALTH UNIT",,"DOH000000000000016","07","0712","BOHOL","071217","DAGOHOY","RHU",
"RURAL HEALTH UNIT OF CARAGA","MUNICIPAL HEALTH OFFICE OF CARAGA, DAVAO ORIENTAL","DOH000000000000017","11","1125","DAVAO ORIENTAL","112504","CARAGA","RHU","P11025484"
"MATAG-OB RURAL HEALTH UNIT","MATAG-OB RURAL HEALTH UNIT  ","DOH000000000000018","08","0837","LEYTE","083733","MATAG-OB","RHU","P08025087"
"BERNARDO HEALTH CENTER",,"DOH000000000000021","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"SAUYO HEALTH CENTER",,"DOH000000000000022","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"MADDELA RURAL HEALTH UNIT","MADDELA RURAL HEALTH UNIT","DOH000000000000025","02","0257","QUIRINO","025704","MADDELA","RHU","P02024285"
"KIBLAWAN RURAL HEALTH UNIT","RURAL HEALTH UNIT OF KIBLAWAN","DOH000000000000026","11","1124","DAVAO DEL SUR","112406","KIBLAWAN","RHU","P11025475"
"TAMBULIG RURAL HEALTH UNIT",,"DOH000000000000027","09","0973","ZAMBOANGA DEL SUR","097328","TAMBULIG","RHU",
"RAMON MAGSAYSAY RURAL HEALTH UNIT",,"DOH000000000000028","09","0973","ZAMBOANGA DEL SUR","097323","RAMON MAGSAYSAY (LIARGO)","RHU",
"TINGLAYAN RURAL HEALTH UNIT",,"DOH000000000000029","14","1432","KALINGA","143215","TINGLAYAN","RHU",
"SANTA RITA RURAL HEALTH UNIT","STA. RITA HEALTH CENTER ","DOH000000000000030","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03024502"
"GUAGUA RURAL HEALTH UNIT I","GUAGUA RHU I ","DOH000000000000031","03","0354","PAMPANGA","035407","GUAGUA","RHU","P03024435"
"LINAPACAN RURAL HEALTH UNIT","LINAPACAN RURAL HEALTH UNIT","DOH000000000000032","17","1753","PALAWAN","175313","LINAPACAN","RHU","P42026080"
"KAPANGAN RURAL HEALTH UNIT","KAPANGAN RURAL HEALTH UNIT - PCB1","DOH000000000000033","14","1411","BENGUET","141108","KAPANGAN","RHU","P13025613"
"TIPO-TIPO MAIN HEALTH CENTER",,"DOH000000000000034","15","1507","BASILAN","150706","TIPO-TIPO","MHC",
"LUPON RURAL HEALTH UNIT","LUPON MUNICIPAL HEALTH OFFICE","DOH000000000000035","11","1125","DAVAO ORIENTAL","112507","LUPON","RHU","P11025482"
"BANAYBANAY RURAL HEALTH UNIT","BANAYBANAY MUNICIPAL HEALTH OFFICE","DOH000000000000036","11","1125","DAVAO ORIENTAL","112502","BANAYBANAY","RHU","P11025486"
"SANTO TOMAS MUNICIPAL HEALTH CENTER",,"DOH000000000000037","11","1123","DAVAO DEL NORTE","112318","SANTO TOMAS","RHU",
"LAKE SEBU RURAL HEALTH UNIT","RHU LAKE SEBU","DOH000000000000038","12","1263","SOUTH COTABATO","126319","LAKE SEBU","RHU","P12027400"
"LABASON RURAL HEALTH UNIT","LABASON RURAL HEALTH UNIT","DOH000000000000039","09","0972","ZAMBOANGA DEL NORTE","097205","LABASON","RHU","P09025242"
"MIAG-AO RURAL HEALTH UNIT",,"DOH000000000000040","06","0630","ILOILO","063030","MIAGAO","RHU",
"TANGALAN RURAL HEALTH UNIT","TANGALAN RHU ","DOH000000000000041","06","0604","AKLAN","060417","TANGALAN","RHU","P06024686"
"GODOD RURAL HEALTH UNIT","GODOD RURAL HEALTH UNIT","DOH000000000000042","09","0972","ZAMBOANGA DEL NORTE","097225","GODOD","RHU","P09025236"
"BALIGUIAN RURAL HEALTH UNIT",,"DOH000000000000043","09","0972","ZAMBOANGA DEL NORTE","097224","BALIGUIAN","RHU","P09025233"
"TUPI MUNICIPAL HEALTH OFFICE","TUPI RURAL HEALTH UNIT","DOH000000000000044","12","1263","SOUTH COTABATO","126317","TUPI","RHU","P12025534"
"MUNICIPAL HEALTH OFFICE AND FAMILY PLANNING CENTER","CANTILAN RURAL HEALTH UNIT & FPC ","DOH000000000000045","16","1668","SURIGAO DEL SUR","166805","CANTILAN","RHU","P14025746"
"TUBLAY RURAL HEALTH UNIT","TUBLAY RURAL HEALTH UNIT - PCB1","DOH000000000000046","14","1411","BENGUET","141114","TUBLAY","RHU","P13025619"
"TUAO RURAL HEALTH UNIT II","TUAO RURAL HEALTH UNIT II","DOH000000000000047","02","0215","CAGAYAN","021528","TUAO","RHU","P02024240"
"CABUCGAYAN MUNICIPAL HEALTH OFFICE","CABUCGAYAN RURAL HEALTH UNIT","DOH000000000000048","08","0878","BILIRAN","087803","CABUCGAYAN","RHU","P08025034"
"PURA RURAL HEALTH UNIT",,"DOH000000000000049","03","0369","TARLAC","036911","PURA","RHU",
"PAKIL RURAL HEALTH UNIT","PAKIL RURAL HEALTH UNIT","DOH000000000000050","04","0434","LAGUNA","043420","PAKIL","RHU","P41025917"
"BAROBO MUNICIPAL HEALTH OFFICE","BAROBO PUBLIC-PRIVATE HEALTH FACILITIES","DOH000000000000051","16","1668","SURIGAO DEL SUR","166801","BAROBO","RHU","P14025743"
"SIMUNUL RURAL HEALTH UNIT",,"DOH000000000000052","15","1570","TAWI-TAWI","157004","SIMUNUL","RHU",
"JAVIER RURAL HEALTH UNIT","JAVIER RHU ","DOH000000000000053","08","0837","LEYTE","083724","JAVIER (BUGHO)","RHU","P08025093"
"MONKAYO RURAL HEALTH UNIT","MONKAYO MUNICIPAL HEALTH OFFICE ","DOH000000000000054","11","1182","COMPOSTELA VALLEY","118207","MONKAYO","RHU","P11025491"
"BATAN RURAL HEALTH UNIT","BATAN RURAL HEALTH UNIT","DOH000000000000055","06","0604","AKLAN","060404","BATAN","RHU","P06024701"
"SAN AGUSTIN RURAL HEALTH UNIT",,"DOH000000000000056","02","0231","ISABELA","023127","SAN AGUSTIN","RHU",
"GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT","GEN. SALIPADA K. PENDATUN RURAL HEALTH UNIT (BADAK)","DOH000000000000057","15","1538","MAGUINDANAO","153819","GEN. S. K. PENDATUN","RHU","P15025856"
"LANUZA RURAL HEALTH UNIT",,"DOH000000000000058","16","1668","SURIGAO DEL SUR","166810","LANUZA","RHU",
"SAN MIGUEL RURAL HEALTH UNIT","SAN MIGUEL RURAL HEALTH UNIT","DOH000000000000061","06","0630","ILOILO","063041","SAN MIGUEL","RHU","P06027474"
"GUINDULMAN RURAL HEALTH UNIT AND BIRTHING FACILITY",,"DOH000000000000062","07","0712","BOHOL","071223","GUINDULMAN","RHU",
"DUMALINAO RURAL HEALTH UNIT",,"DOH000000000000063","09","0973","ZAMBOANGA DEL SUR","097307","DUMALINAO","RHU",
"SINDANGAN RURAL HEALTH UNIT",,"DOH000000000000064","09","0972","ZAMBOANGA DEL NORTE","097218","SINDANGAN","RHU",
"VINCENZO SAGUN RURAL HEALTH UNIT","VINCENZO SAGUN RURAL HEALTH UNIT","DOH000000000000065","09","0973","ZAMBOANGA DEL SUR","097341","VINCENZO A. SAGUN","RHU","P09025274"
"GUIPOS RURAL HEALTH UNIT","GUIPOS RURAL HEALTH UNIT","DOH000000000000066","09","0973","ZAMBOANGA DEL SUR","097343","GUIPOS","RHU","P09025297"
"MOLAVE RURAL HEALTH UNIT","MOLAVE RURAL HEALTH UNIT","DOH000000000000067","09","0973","ZAMBOANGA DEL SUR","097319","MOLAVE","RHU","P09025286"
"BATUAN RURAL HEALTH UNIT",,"DOH000000000000068","07","0712","BOHOL","071207","BATUAN","RHU",
"PANDAN RURAL HEALTH UNIT","PANDAN RURAL HEALTH UNIT ","DOH000000000000069","06","0606","ANTIQUE","060611","PANDAN","RHU","P06024710"
"MATANAO RURAL HEALTH UNIT","RURAL HEALTH UNIT OF MATANAO","DOH000000000000070","11","1124","DAVAO DEL SUR","112410","MATANAO","RHU","P11025471"
"DUERO MUNICIPAL HEALTH OFFICE",,"DOH000000000000071","07","0712","BOHOL","","DUERO","MHO",
"TRINIDAD RURAL HEALTH UNIT","TRINIDAD RURAL HEALTH UNIT","DOH000000000000072","07","0712","BOHOL","071244","TRINIDAD","RHU","P07024872"
"JAGNA MUNICIPAL HEALTH OFFICE I","JAGNA MUNICIPAL HEALTH OFFICE I","DOH000000000000073","07","0712","BOHOL","071225","JAGNA","MHO","P07024889"
"SAN MIGUEL MUNICIPAL HEALTH OFFICE","RHU SAN MIGUEL","DOH000000000000074","07","0712","BOHOL","071238","SAN MIGUEL","MHO","P07024994"
"PANGIL RURAL HEALTH UNIT","PANGIL RURAL HEALTH UNIT ","DOH000000000000075","04","0434","LAGUNA","043421","PANGIL","RHU","P41025918"
"POBLACION BISLIG HEALTH CENTER",,"DOH000000000000076","16","1668","SURIGAO DEL SUR","166803","CITY OF BISLIG","RHU","P14025751"
"EL NIDO RURAL HEALTH UNIT",,"DOH000000000000077","17","1753","PALAWAN","175312","EL NIDO (BACUIT)","RHU",
"TRENTO RURAL HEALTH UNIT","TRENTO INFIRMARY","DOH000000000000078","16","1603","AGUSAN DEL SUR","160312","TRENTO","RHU","P14028796"
"SAN FRANCISCO RURAL HEALTH UNIT","SAN FRANCISCO RURAL HEALTH UNIT","DOH000000000000079","16","1603","AGUSAN DEL SUR","160308","SAN FRANCISCO","RHU","P14025765"
"ATOK RURAL HEALTH UNIT",,"DOH000000000000080","14","1411","BENGUET","141101","ATOK","RHU",
"PEÃ‘ARRUBIA RURAL HEALTH UNIT",,"DOH000000000000081","14","1401","ABRA","140117","PEÃƒâ€šÃ‚ÂARRUBIA","RHU",
"CALINAN DISTRICT HEALTH OFFICE",,"DOH000000000000082","11","1124","DAVAO DEL SUR","112402","DAVAO CITY","RHU",
"DANGLAS RURAL HEALTH UNIT","DANGLAS RURAL HEALTH UNIT - PCB1","DOH000000000000083","14","1401","ABRA","140106","DANGLAS","RHU","P13026838"
"LAMUT MUNICIPAL HEALTH OFFICE","LAMUT RURAL HEALTH UNIT - PCB1","DOH000000000000084","14","1427","IFUGAO","142705","LAMUT","RHU","P13026908"
"AGUINALDO RURAL HEALTH UNIT",,"DOH000000000000085","14","1427","IFUGAO","142708","AGUINALDO","RHU",
"BALABAC RURAL HEALTH UNIT",,"DOH000000000000086","17","1753","PALAWAN","175304","BALABAC","RHU",
"BANSUD RURAL HEALTH UNIT",,"DOH000000000000087","17","1752","ORIENTAL MINDORO","175202","BANSUD","RHU",
"BUSUANGA RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE BUSUANGA","DOH000000000000088","17","1753","PALAWAN","175307","BUSUANGA","RHU","P42026073"
"KORONADAL CITY HEALTH OFFICE","CHO- KORONADAL","DOH000000000000089","12","1263","SOUTH COTABATO","126306","CITY OF KORONADAL (Capital)","RHU","P12025553"
"ASUNCION MUNICIPAL HEALTH OFFICE",,"DOH000000000000090","11","1123","DAVAO DEL NORTE","112301","ASUNCION (SAUG)","RHU",
"MAKILALA RURAL HEALTH UNIT","RHU -MAKILALA","DOH000000000000091","12","1247","COTABATO","124707","MAKILALA","RHU","P12025517"
"CANDABA RURAL HEALTH UNIT I","CANDABA RURAL HEALTH UNIT III","DOH000000000000092","03","0354","PAMPANGA","035405","CANDABA","RHU","P03027872"
"HILONGOS RURAL HEALTH UNIT I","HILONGOS RURAL HEALTH UNIT-I ","DOH000000000000094","08","0837","LEYTE","083719","HILONGOS","RHU","P08025098"
"QUEZON RURAL HEALTH UNIT","QUEZON RURAL HEALTH UNIT","DOH000000000000095","02","0231","ISABELA","023122","QUEZON","RHU","P02024293"
"LEYTE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","LEYTE RURAL HEALTH UNIT MATERNITY AND CHILD HEALTH CENTER","DOH000000000000096","08","0837","LEYTE","083729","LEYTE","RHU","P08025090"
"SAN CLEMENTE RURAL HEALTH UNIT",,"DOH000000000000099","03","0369","TARLAC","036913","SAN CLEMENTE","RHU",
"HAMTIC RURAL HEALTH UNIT","HAMTIC MUNICIPAL HEALTH OFFICE","DOH000000000000100","06","0606","ANTIQUE","060608","HAMTIC","RHU","P06024713"
"ROXAS RURAL HEALTH UNIT","ROXAS RURAL HEALTH UNIT","DOH000000000000101","17","1752","ORIENTAL MINDORO","175212","ROXAS","RHU","P42026065"
"PAYATAS B HEALTH CENTER",,"DOH000000000000102","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"TUGAYA RURAL HEALTH UNIT",,"DOH000000000000103","15","1536","LANAO DEL SUR","153629","TUGAYA","RHU",
"DIFFUN MUNICIPAL HEALTH OFFICE","DIFFUN MUNICIPAL HEALTH OFFICE AND REPRODUCTIVE HEALTH CLINIC","DOH000000000000105","02","0257","QUIRINO","025703","DIFFUN","RHU","P02024284"
"SAN ISIDRO RURAL HEALTH UNIT",,"DOH000000000000106","02","0231","ISABELA","023129","SAN ISIDRO","RHU",
"PONTEVEDRA RURAL HEALTH UNIT","PONTEVEDRA RURAL HEALTH UNIT","DOH000000000000107","06","0619","CAPIZ","061912","PONTEVEDRA","RHU","P06024821"
"IBAJAY RURAL HEALTH UNIT I","IBAJAY RURAL HEALTH UNIT I","DOH000000000000109","06","0604","AKLAN","060406","IBAJAY","RHU","P06024699"
"KATIPUNAN RURAL HEALTH UNIT AND BIRTHING CLINIC",,"DOH000000000000110","09","0972","ZAMBOANGA DEL NORTE","097203","KATIPUNAN","RHU",
"PAGADIAN CITY HEALTH OFFICE",,"DOH000000000000111","09","0973","ZAMBOANGA DEL SUR","097322","PAGADIAN CITY (Capital)","RHU",
"SANTA MARIA BARANGAY HEALTH STATION",,"DOH000000000000112","09","0973","ZAMBOANGA DEL SUR","097322","PAGADIAN CITY (Capital)","BHS",
"TALON-TALON MAIN HEALTH CENTER","CITY GOV'T OF ZAMBOANGA/CHO-TALON-TALON HEALTH CENTER ","DOH000000000000113","09","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","RHU","P09025261"
"SEVILLA MUNICIPAL HEALTH OFFICE",,"DOH000000000000114","07","0712","BOHOL","071239","SEVILLA","RHU",
"CADIZ CITY HEALTH OFFICE AND EMERGENCY CLINIC","CADIZ CHO ","DOH000000000000115","06","0645","NEGROS OCCIDENTAL","064504","CADIZ CITY","CHO","P06024814"
"BATAC CITY HEALTH OFFICE","BATAC CITY HEALTH OFFICE","DOH000000000000116","01","0128","ILOCOS NORTE","012805","BATAC","RHU","P01024075"
"MALINAO RURAL HEALTH UNIT",,"DOH000000000000117","05","0505","ALBAY","050510","MALINAO","RHU","P05024544"
"BUADIPOSO BUNTONG RURAL HEALTH UNIT","BUADIPUSO BUNTUNG RHU","DOH000000000000118","15","1536","LANAO DEL SUR","153633","BUADIPOSO-BUNTONG","RHU","P15025810"
