"firecracker_desc","firecracker_code"
"Piccolo","01"
"Kwitis","02"
"5-Star","03"
"Home-Made Firecrackers","04"
"Luces","05"
"Whistle Bomb","06"
"Pla-Pla","07"
"Fountain","08"
"Boga","09"
"Triangle","10"
"Piston","11"
"Baby Rocket","12"
"Watusi","13"
"Rebentador","14"
"Camara","15"
"Sparkler","16"
"Pop-pop","17"
"Toy Gun Powder","18"
"Roman Candle","19"
"Flash Bomb","20"
"Piston","21"
"Baby Rocket","22"
"Watusi","23"
"Rebentador","24"
"Camara","25"
"Sparkler","26"
"Pop-pop","27"
"Toy Gun Powder","28"
"Roman Candle","29"
"Flash Bomb","30"
"Baby Dynamite","31"
"Bawang","32"
"Super Lolo","33"
"Dragon Firecracker","34"
"Judas Belt","35"
"Atomic Bomb","36"
"Kingkong","37"
"Air Bomb","38"
"GoodBye Philippines","39"
"Lolo Thunder","40"
"Super Bawang","41"
"Tuna","42"
"Candle Bomb","43"
"Mother Rocker","44"
"15 Balls","45"
"Sawa","46"
"Missile","47"
"Binladen","48"
"Bamboo Canon","49"
"Sky Rocket","50"
"Kome","51"
"Trumpillo","52"
"Bilong Bilong","53"
"Pill Box","54"
"Kwiton Bomb","55"
"Others","56"
"Not Applicable","57"
"Unknown","58"
