"id","growth_height_months","growth_height_sever_stunted","growth_height_stunted_from","growth_height_stunted_to","growth_height_normal_from","growth_height_normal_to","growth_height_tall","growth_height_sex"
"1","0","44.1","44.2","46.0","46.1","53.7","53.8","M"
"2","1","48.8","48.9","50.7","50.8","58.6","58.7","M"
"3","2","52.3","52.4","54.3","54.4","62.4","62.5","M"
"4","3","55.2","55.3","57.2","57.3","65.5","65.6","M"
"5","4","57.5","57.6","59.6","59.7","68.0","68.1","M"
"6","5","59.5","59.6","61.6","61.7","70.1","70.2","M"
"7","6","61.1","61.2","63.2","63.3","71.9","72.0","M"
"8","7","62.6","62.7","64.7","64.8","73.5","73.6","M"
"9","8","63.9","64.0","66.1","66.2","75.0","75.1","M"
"10","9","65.1","65.2","67.4","67.5","76.5","76.6","M"
"11","10","66.3","66.4","68.6","68.7","77.9","78.0","M"
"12","11","67.5","67.6","69.8","69.9","79.2","79.3","M"
"13","12","68.5","68.6","70.9","71.0","80.5","80.6","M"
"14","13","69.5","69.6","72.0","72.1","81.8","81.9","M"
"15","14","70.5","70.6","73.0","73.1","83.0","83.1","M"
"16","15","71.5","71.6","74.0","74.1","84.2","84.3","M"
"17","16","72.4","72.5","74.9","75.0","85.4","85.5","M"
"18","17","73.2","73.3","75.9","76.0","86.5","86.6","M"
"19","18","74.1","74.2","76.8","76.9","87.7","87.8","M"
"20","19","74.9","75.0","77.6","77.7","88.8","88.9","M"
"21","20","75.7","75.8","78.5","78.6","89.8","89.9","M"
"22","21","76.4","76.5","79.3","79.4","90.9","91.0","M"
"23","22","77.1","77.2","80.1","80.2","91.9","92.0","M"
"24","23","77.9","78.0","80.9","81.0","92.9","93.0","M"
"25","24","77.9","78.0","80.9","81.0","93.2","93.3","M"
"26","25","78.5","78.6","81.6","81.7","94.2","94.3","M"
"27","26","79.2","79.3","82.4","82.5","95.2","95.3","M"
"28","27","79.8","79.9","83.0","83.1","96.1","96.2","M"
"29","28","80.4","80.5","83.7","83.8","97.0","97.1","M"
"30","29","81.0","81.1","84.4","84.5","97.9","98.0","M"
"31","30","81.6","81.7","85.0","85.1","98.7","98.8","M"
"32","31","82.2","82.3","85.6","85.7","99.6","99.7","M"
"33","32","82.7","82.8","86.3","86.4","100.4","100.5","M"
"34","33","83.3","83.4","86.8","86.9","101.2","101.3","M"
"35","34","83.8","83.9","87.4","87.5","102.0","102.1","M"
"36","35","84.3","84.4","88.0","88.1","102.7","102.8","M"
"37","36","84.9","85.0","88.6","88.7","103.5","103.6","M"
"38","37","85.4","85.5","89.1","89.2","104.2","104.3","M"
"39","38","85.9","86.0","89.7","89.8","105.0","105.1","M"
"40","39","86.4","86.5","90.2","90.3","105.7","105.8","M"
"41","40","86.9","87.0","90.8","90.9","106.4","106.5","M"
"42","41","87.4","87.5","91.3","91.4","107.1","107.2","M"
"43","42","87.9","88.0","91.8","91.9","107.8","107.9","M"
"44","43","88.3","88.4","92.3","92.4","108.5","108.6","M"
"45","44","88.8","88.9","92.9","93.0","109.1","109.2","M"
"46","45","89.3","89.4","93.4","93.5","109.8","109.9","M"
"47","46","89.7","89.8","93.9","94.0","110.4","110.5","M"
"48","47","90.2","90.3","94.3","94.4","111.1","111.2","M"
"49","48","90.6","90.7","94.8","94.9","111.7","111.8","M"
"50","49","91.1","91.2","95.3","95.4","112.4","112.5","M"
"51","50","91.5","91.6","95.8","95.9","113.0","113.1","M"
"52","51","92.0","92.1","96.3","96.4","113.6","113.7","M"
