"id","growth_weight_months","growth_weight_sever_under","growth_weight_under_from","growth_weight_under_to","growth_weight_normal_from","growth_weight_normal_to","growth_weight_over","growth_weight_sex"
"1","0","2.1","2.2","2.4","2.5","4.4","4.5","M"
"2","1","2.9","3.0","3.3","3.4","5.8","5.9","M"
"3","2","3.8","3.9","4.2","4.3","7.1","7.2","M"
"4","3","4.4","4.5","4.9","5.0","8.0","8.1","M"
"5","4","4.9","5.0","5.5","5.6","8.7","8.8","M"
"6","5","5.3","5.4","5.9","6.0","9.3","9.4","M"
"7","6","5.7","5.8","6.3","6.4","9.8","9.9","M"
"8","7","5.9","6.0","6.6","6.7","10.3","10.4","M"
"9","8","6.2","6.3","6.8","6.9","10.7","10.8","M"
"10","9","6.4","6.5","7.0","7.1","11.0","11.1","M"
"11","10","6.6","6.7","7.3","7.4","11.4","11.5","M"
"12","11","6.8","6.9","7.5","7.6","11.7","11.8","M"
"13","12","6.9","7.0","7.6","7.7","12.0","12.1","M"
"14","13","7.1","7.2","7.8","7.9","12.3","12.4","M"
"15","14","7.2","7.3","8.0","8.1","12.6","12.7","M"
"16","15","7.4","7.5","8.2","8.3","12.8","12.9","M"
"17","16","7.5","7.6","8.3","8.4","13.1","13.2","M"
"18","17","7.7","7.8","8.5","8.6","13.4","13.5","M"
"19","18","7.8","7.9","8.7","8.8","13.7","13.8","M"
"20","19","8.0","8.1","8.8","8.9","13.9","14.0","M"
"21","20","8.1","8.2","9.0","9.1","14.2","14.3","M"
"22","21","8.2","8.3","9.1","9.2","14.5","14.6","M"
"23","22","8.4","8.5","9.3","9.4","14.7","14.8","M"
"24","23","8.5","8.6","9.4","9.5","15.0","15.1","M"
"25","24","8.6","8.7","9.6","9.7","15.3","15.4","M"
"26","25","8.8","8.9","9.7","9.8","15.5","15.6","M"
"27","26","8.9","9.0","9.9","10.0","15.8","15.9","M"
"28","27","9.0","9.1","10.0","10.1","16.1","16.2","M"
"29","28","9.1","9.2","10.1","10.2","16.3","16.4","M"
"30","29","9.2","9.3","10.3","10.4","16.6","16.7","M"
"31","30","9.4","9.5","10.4","10.5","16.9","17.0","M"
"32","31","9.5","9.6","10.6","10.7","17.1","17.2","M"
"33","32","9.6","9.7","10.7","10.8","17.4","17.5","M"
"34","33","9.7","9.8","10.8","10.9","17.6","17.7","M"
"35","34","9.8","9.9","10.9","11.0","17.8","17.9","M"
"36","35","9.9","10.0","11.1","11.2","18.1","18.2","M"
