"laboratory_code","laboratory_desc","laboratory_link","laboratory_active"
"BC","Blood Chemistry","tbl_laboratory_blood_chem","Y"
"BR","Complete Blood Count","tbl_laboratory_blood_res","Y"
"BT","Bacteriology","tbl_laboratory_bacter","Y"
"CC","Clinical Chemistry","tbl_laboratory_clinical_chem","Y"
"FE","Fecalysis","tbl_laboratory_stool","Y"
"GX","MTB GeneXpert","tbl_laboratory_genexpert","Y"
"HM","Hematology","tbl_laboratory_hematology","Y"
"IM","Immunology","tbl_laboratory_immun","Y"
"OT","Others",,"N"
"SE","Serology","tbl_laboratory_serology","Y"
"SL","Special Laboratory",,"N"
"SM","Sputum Microscopy","tbl_laboratory_sputum","Y"
"UR","Urinalysis","tbl_laboratory_urine","Y"
