"fhudcode","fhudname","phic_name","regname","provcode","provname","citycode","cityname","facility_type_code","pan"
"DOH000000000000014","TOBIAS FORNIER RURAL HEALTH UNIT","TOBIAS FORNIER RHU ","Region 6","0606","ANTIQUE","060607","TOBIAS FORNIER (DAO)","RHU","P06024705"
"DOH000000000000015","CALAPE MAIN HEALTH TB DOTS AND BIRTHING CENTER","CALAPE RURAL HEALTH UNIT","Region 7","0712","BOHOL","071210","CALAPE","RHU","P07024902"
"DOH000000000000017","RURAL HEALTH UNIT OF CARAGA","MUNICIPAL HEALTH OFFICE OF CARAGA, DAVAO ORIENTAL","Region 11","1125","DAVAO ORIENTAL","112504","CARAGA","RHU","P11025484"
"DOH000000000000018","MATAG-OB RURAL HEALTH UNIT","MATAG-OB RURAL HEALTH UNIT  ","Region 8","0837","LEYTE","083733","MATAG-OB","RHU","P08025087"
"DOH000000000000025","MADDELA RURAL HEALTH UNIT","MADDELA RURAL HEALTH UNIT","Region 2","0257","QUIRINO","025704","MADDELA","RHU","P02024285"
"DOH000000000000026","KIBLAWAN RURAL HEALTH UNIT","RURAL HEALTH UNIT OF KIBLAWAN","Region 11","1124","DAVAO DEL SUR","112406","KIBLAWAN","RHU","P11025475"
"DOH000000000000030","SANTA RITA RURAL HEALTH UNIT","STA. RITA HEALTH CENTER ","Region 3","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03024502"
"DOH000000000000031","GUAGUA RURAL HEALTH UNIT I","GUAGUA RHU I ","Region 3","0354","PAMPANGA","035407","GUAGUA","RHU","P03024435"
"DOH000000000000032","LINAPACAN RURAL HEALTH UNIT","LINAPACAN RURAL HEALTH UNIT","Region 4B","1753","PALAWAN","175313","LINAPACAN","RHU","P42026080"
"DOH000000000000033","KAPANGAN RURAL HEALTH UNIT","KAPANGAN RURAL HEALTH UNIT - PCB1","CAR","1411","BENGUET","141108","KAPANGAN","RHU","P13025613"
"DOH000000000000035","LUPON RURAL HEALTH UNIT","LUPON MUNICIPAL HEALTH OFFICE","Region 11","1125","DAVAO ORIENTAL","112507","LUPON","RHU","P11025482"
"DOH000000000000036","BANAYBANAY RURAL HEALTH UNIT","BANAYBANAY MUNICIPAL HEALTH OFFICE","Region 11","1125","DAVAO ORIENTAL","112502","BANAYBANAY","RHU","P11025486"
"DOH000000000000038","LAKE SEBU RURAL HEALTH UNIT","RHU LAKE SEBU","Region 12","1263","SOUTH COTABATO","126319","LAKE SEBU","RHU","P12027400"
"DOH000000000000039","LABASON RURAL HEALTH UNIT","LABASON RURAL HEALTH UNIT","Region 9","0972","ZAMBOANGA DEL NORTE","097205","LABASON","RHU","P09025242"
"DOH000000000000041","TANGALAN RURAL HEALTH UNIT","TANGALAN RHU ","Region 6","0604","AKLAN","060417","TANGALAN","RHU","P06024686"
"DOH000000000000042","GODOD RURAL HEALTH UNIT","GODOD RURAL HEALTH UNIT","Region 9","0972","ZAMBOANGA DEL NORTE","097225","GODOD","RHU","P09025236"
"DOH000000000000043","BALIGUIAN RURAL HEALTH UNIT",,"Region 9","0972","ZAMBOANGA DEL NORTE","097224","BALIGUIAN","RHU","P09025233"
"DOH000000000000044","TUPI MUNICIPAL HEALTH OFFICE","TUPI RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126317","TUPI","RHU","P12025534"
"DOH000000000000045","MUNICIPAL HEALTH OFFICE AND FAMILY PLANNING CENTER","CANTILAN RURAL HEALTH UNIT & FPC ","CARAGA","1668","SURIGAO DEL SUR","166805","CANTILAN","RHU","P14025746"
"DOH000000000000046","TUBLAY RURAL HEALTH UNIT","TUBLAY RURAL HEALTH UNIT - PCB1","CAR","1411","BENGUET","141114","TUBLAY","RHU","P13025619"
"DOH000000000000047","TUAO RURAL HEALTH UNIT II","TUAO RURAL HEALTH UNIT II","Region 2","0215","CAGAYAN","021528","TUAO","RHU","P02024240"
"DOH000000000000048","CABUCGAYAN MUNICIPAL HEALTH OFFICE","CABUCGAYAN RURAL HEALTH UNIT","Region 8","0878","BILIRAN","087803","CABUCGAYAN","RHU","P08025034"
"DOH000000000000050","PAKIL RURAL HEALTH UNIT","PAKIL RURAL HEALTH UNIT","Region 4A","0434","LAGUNA","043420","PAKIL","RHU","P41025917"
"DOH000000000000051","BAROBO MUNICIPAL HEALTH OFFICE","BAROBO PUBLIC-PRIVATE HEALTH FACILITIES","CARAGA","1668","SURIGAO DEL SUR","166801","BAROBO","RHU","P14025743"
"DOH000000000000053","JAVIER RURAL HEALTH UNIT","JAVIER RHU ","Region 8","0837","LEYTE","083724","JAVIER (BUGHO)","RHU","P08025093"
"DOH000000000000054","MONKAYO RURAL HEALTH UNIT","MONKAYO MUNICIPAL HEALTH OFFICE ","Region 11","1182","COMPOSTELA VALLEY","118207","MONKAYO","RHU","P11025491"
"DOH000000000000055","BATAN RURAL HEALTH UNIT","BATAN RURAL HEALTH UNIT","Region 6","0604","AKLAN","060404","BATAN","RHU","P06024701"
"DOH000000000000057","GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT","GEN. SALIPADA K. PENDATUN RURAL HEALTH UNIT (BADAK)","ARMM","1538","MAGUINDANAO","153819","GEN. S. K. PENDATUN","RHU","P15025856"
"DOH000000000000061","SAN MIGUEL RURAL HEALTH UNIT","SAN MIGUEL RURAL HEALTH UNIT","Region 6","0630","ILOILO","063041","SAN MIGUEL","RHU","P06027474"
"DOH000000000000065","VINCENZO SAGUN RURAL HEALTH UNIT","VINCENZO SAGUN RURAL HEALTH UNIT","Region 9","0973","ZAMBOANGA DEL SUR","097341","VINCENZO A. SAGUN","RHU","P09025274"
"DOH000000000000066","GUIPOS RURAL HEALTH UNIT","GUIPOS RURAL HEALTH UNIT","Region 9","0973","ZAMBOANGA DEL SUR","097343","GUIPOS","RHU","P09025297"
"DOH000000000000067","MOLAVE RURAL HEALTH UNIT","MOLAVE RURAL HEALTH UNIT","Region 9","0973","ZAMBOANGA DEL SUR","097319","MOLAVE","RHU","P09025286"
"DOH000000000000069","PANDAN RURAL HEALTH UNIT","PANDAN RURAL HEALTH UNIT ","Region 6","0606","ANTIQUE","060611","PANDAN","RHU","P06024710"
"DOH000000000000070","MATANAO RURAL HEALTH UNIT","RURAL HEALTH UNIT OF MATANAO","Region 11","1124","DAVAO DEL SUR","112410","MATANAO","RHU","P11025471"
"DOH000000000000072","TRINIDAD RURAL HEALTH UNIT","TRINIDAD RURAL HEALTH UNIT","Region 7","0712","BOHOL","071244","TRINIDAD","RHU","P07024872"
"DOH000000000000073","JAGNA MUNICIPAL HEALTH OFFICE I","JAGNA MUNICIPAL HEALTH OFFICE I","Region 7","0712","BOHOL","071225","JAGNA","Municipal Health Office","P07024889"
"DOH000000000000074","SAN MIGUEL MUNICIPAL HEALTH OFFICE","RHU SAN MIGUEL","Region 7","0712","BOHOL","071238","SAN MIGUEL","Municipal Health Office","P07024994"
"DOH000000000000075","PANGIL RURAL HEALTH UNIT","PANGIL RURAL HEALTH UNIT ","Region 4A","0434","LAGUNA","043421","PANGIL","RHU","P41025918"
"DOH000000000000076","POBLACION BISLIG HEALTH CENTER",,"CARAGA","1668","SURIGAO DEL SUR","166803","CITY OF BISLIG","RHU","P14025751"
"DOH000000000000078","TRENTO RURAL HEALTH UNIT","TRENTO INFIRMARY","CARAGA","1603","AGUSAN DEL SUR","160312","TRENTO","RHU","P14028796"
"DOH000000000000079","SAN FRANCISCO RURAL HEALTH UNIT","SAN FRANCISCO RURAL HEALTH UNIT","CARAGA","1603","AGUSAN DEL SUR","160308","SAN FRANCISCO","RHU","P14025765"
"DOH000000000000083","DANGLAS RURAL HEALTH UNIT","DANGLAS RURAL HEALTH UNIT - PCB1","CAR","1401","ABRA","140106","DANGLAS","RHU","P13026838"
"DOH000000000000084","LAMUT MUNICIPAL HEALTH OFFICE","LAMUT RURAL HEALTH UNIT - PCB1","CAR","1427","IFUGAO","142705","LAMUT","RHU","P13026908"
"DOH000000000000088","BUSUANGA RURAL HEALTH UNIT","MUNICIPAL HEALTH OFFICE BUSUANGA","Region 4B","1753","PALAWAN","175307","BUSUANGA","RHU","P42026073"
"DOH000000000000089","KORONADAL CITY HEALTH OFFICE","CHO- KORONADAL","Region 12","1263","SOUTH COTABATO","126306","CITY OF KORONADAL (Capital)","RHU","P12025553"
