"form_code","form_description"
"00000",
"AERO1","AEROSOL POWDER"
"AERO2","AEROSOL SPRAY"
"AERO3","AEROSOL"
"AEROS","AEROSOL METERED"
"BAM01","BREATH ACTUATED MDI"
"BARCH","BAR CHEWABLE"
"BEAD1","BEAD IMPLANT SUSTAINED RELEASE"
"BEAD2","BEAD"
"BEADI","BEAD IMPLANT EXTENDED RELEASE"
"BLOCK","BLOCK"
"BREAD","BREADSTICK"
"BULKX","BULK"
"CAP10","CAPSULE COATED"
"CAP11","CAPSULE COATED PELLETS"
"CAP12","CAPSULE DELAYED ACTION COATED HARD GELATIN"
"CAP13","CAPSULE DELAYED ACTION COATED"
"CAP14","CAPSULE DELAYED ACTION ENTERIC COATED HARD GELATIN"
"CAP15","CAPSULE DELAYED ACTION ENTERIC COATED SOFT GELATIN"
"CAP16","CAPSULE DELAYED ACTION ENTERIC COATED"
"CAP17","CAPSULE DELAYED ACTION HARD GELATIN GELATIN"
"CAP18","CAPSULE DELAYED ACTION"
"CAP19","CAPSULE DELAYED RELEASE PELLETS"
"CAP20","CAPSULE DELAYED RELEASE"
"CAP21","CAPSULE ENTERIC COATED PELLETS"
"CAP22","CAPSULE EXTENDED RELEASE"
"CAP23","CAPSULE FILM COATED EXTENDED RELEASE"
"CAP24","CAPSULE FILM COATED HARD GELATIN"
"CAP25","CAPSULE FILM COATED"
"CAP26","CAPSULE FOR MICROEMULSION"
"CAP27","CAPSULE GELATIN COATED"
"CAP28","CAPSULE HARD GELATIN"
"CAP29","CAPSULE LIQUID FILLED"
"CAP30","CAPSULE REPEAT ACTION"
"CAP31","CAPSULE SOFT GELATIN"
"CAP33","CAPSULE SOFT GELATIN LIQUID-FILLED"
"CAP34","CAPSULE SUSTAINED ACTION COATED HARD GELATIN"
"CAP35","CAPSULE SUSTAINED ACTION COATED SOFT GELATIN"
"CAP36","CAPSULE SUSTAINED ACTION COATED"
"CAP37","CAPSULE SUSTAINED ACTION FILM COATED HARD GELATIN"
"CAP38","CAPSULE SUSTAINED ACTION HARD GELATIN"
"CAP39","CAPSULE SUSTAINED ACTION SOFT GELATIN"
"CAP40","CAPSULE SUSTAINED ACTION"
"CAP41","CAPSULE CONTROLLED RELEASE"
"CAP42","CAPSULE MODIFIED RELEASE"
"CAPS1","CAPSULE (IMMED./COMP. RELEASE) COATED SOFT GELATIN"
"CAPS2","CAPSULE (IMMED./COMP. RELEASE) HARD GELATIN"
"CAPS3","CAPSULE (IMMED./COMP. RELEASE) SOFT GELATIN CHEWABLE"
"CAPS4","CAPSULE (IMMED./COMP. RELEASE) SOFT GELATIN PERLE"
"CAPS5","CAPSULE (IMMED./COMP. RELEASE) SOFT GELATIN"
"CAPS6","CAPSULE (IMMED./COMP. RELEASE)"
"CAPS7","CAPSULE COATED EXTENDED RELEASE"
"CAPS8","CAPSULE COATED HARD GELATIN"
"CAPS9","CAPSULE COATED SOFT GELATIN"
"CAPSU","CAPSULE"
