"generic_code","generic_description"
"
",""
"01961","VITAMINS INTRAVENOUS, FAT-SOLUBLE"
"01962","VITAMINS INTRAVENOUS, TRACE ELEMENTS"
"01964","VITAMINS INTRAVENOUS, WATER-SOLUBLE"
"03SOD","0.3% SODIUM CHLORIDE"
"09SOD","0.9% SODIUM CHLORIDE"
"10DEX","10% DEXTROSE IN WATER"
"20DEX","20% DEXTROSE IN WATER"
"20MAN","20% MANNITOL"
"24DAA","2,4 DICHLOROBENZYL ALCOHOL, AMYLMETACRESOL, ASCORBIC ACID"
"24DAM","2,4-DICHOLOROBENZYL ALCOHOL, AMYLMETACRESOL"
"25DXM","25% DEXTROSE MONOHYDRATE"
"30DEX","30% DEXTROSE IN WATER"
"40DEX","10% DEXTRAN 40 IN 5% DEXTROSE (DEXTRAN, LOW MOLECULAR WEIGHT)"
"43D18","4.3% DEXTROSE IN 0.18% SODIUM CHLORIDE"
"4D18S","4% DEXTROSE IN 0.18% SODIUM CHLORIDE"
"4LH5D","0.4% LIDOCAINE HYDROCHLORIDE + 5% DEXTROSE SOLUTION"
"50DES","50% DEXTROSE SOLUTION"
"50DEW","50% DEXTROSE IN WATER"
"5AAME","5% AMINO ACID + MULTIVITAMINS + ELECTROLYTES SOLUTION"
"5D33S","5% DEXTROSE IN 0.33% SODIUM CHLORIDE"
"5D3SC","5% DEXTROSE IN 0.3% SODIUM CHLORIDE"
"5D45S","5 % DEXTROSE IN SODIUM CHLORIDE"
"5D9SC","5% DEXTROSE IN 0.9% SODIUM CHLORIDE"
"5DEXW","5% DEXTROSE IN WATER"
"5DLRS","5% DEXTROSE IN LACTATED RINGER'S"
"5FLOU","5-FLOUROURACIL"
"5FLUO","5-FLUOROCYTOSINE"
"5GLUW","5% GLUCOSE IN WATER"
"6D75D","6% DEXTRAN 70 IN 5% DEXTROSE"
"6DEXT","6% DEXTRAN 70 IN 0.9% SODIUM CHLORIDE"
"ABA01","ABACAVIR"
"AC001","ACTIVATED CHARCOAL"
"ACARB","ACARBOSE"
"Ace30","ACETATED RINGER'S SOLUTION"
"ACECL","ACECLOFENAC"
"ACET1","ACETATED RINGER'S SOLUTION"
"ACET2","ACETAZOLAMIDE"
"ACETA","ACETAMINOPHEN"
"ACEY1","ACETYLCYSTEINE"
"ACEY2","ACETYLSALICYLIC ACID"
"ACFCG","ALOE + CAMPHOR + FLUID EXTRACT RHUBARB + FLUID EXTRACT GENTIAN"
"ACFLR","ACIBAR + FLUID EXTRACT REGALIZ + FLUID EXTRACT RHUBARB"
"ACICL","ACICLOVIR"
"ACID2","ACID CONCENTRATE FOR HEMODIALYSIS 2K+"
"ACID3","ACID HAEMODIALYSIS CONCENTRATE"
"ACIDC","ACID CONCENTRATE FOR HEMODIALYSIS"
"ACITR","ACITRETIN"
"ACTIN","ACTINOMYCIN D"
"ACTIV","ACTIVATED CHARCOAL, USP"
"ACTRE","ACTREOTIDE ACETATE"
"ACYCR","ACICLOVIR"
"ADACP","ADAPALENE + CLINDAMYCIN (AS PHOSPHATE)"
"ADAPA","ADAPALENE"
"ADEFO","ADEFOVIR DIPIVOXIL"
"ADENO","ADENOSINE"
"ADRAT","ADRENALINE (AS ACID TARTRATE)"
"ADREN","ADRENALINE"
"AECDS","AESCIN + DIMETHYLAMINE SALICYLATE"
"AGALS","AGALSIDASE BETA"
"AHMHY","ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE"
"AKA00","AKAPULKO"
"AKAPU","AKAPULKO"
"ALBED","ALBENDAZOLE"
"ALBEP","ALBENPRAZOLE"
"ALBUM","ALBUMIN, HUMAN"
"ALCOE","ALCOHOL, ETHYL"
"ALCOI","ALCOHOL ISOPROPYL"
"ALE00","ALENDRONATE + CHOLECALCIFEROL (VIT. D3)"
"ALEN1","ALENDRONIC ACID (AS ALENDRONATE SODIUM)"
"ALEN2","ALENDRONATE SODIUM"
"ALEN3","ALENDRONATE SODIUM + CHOLECALCIFEROL (VIT D3)"
"ALEN4","ALENDRONIC ACID (AS ALENDRONATE SODIUM TRIHYDRATE)"
"ALEN5","ALENDRONIC ACID (AS ALENDRONATE SODIUM) + CHOLECALCIFEROL (VIT D3)"
"ALEND","ALENDRONATE"
"ALFAC","ALFACALCIDOL"
"ALFU1","ALFUZOSINE HYDROCHLORIDE"
"AlFU2","ALFUZOSIN HYDROCHLORIDE"
"AlFU3","ALFUSOSINE HYDROCHLORIDE"
"AlFU4","ALFUSOZINE HYDROCHLORIDE"
"ALFUZ","ALFUZOSIN"
"ALISK","ALISKEIREN (AS HEMIFUMARATE) + AMLODIPINE (AS BESILATE)"
"ALL-I","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)"
"ALLOP","ALLOPURINOL"
"ALLTR","ALL TRANS RETINOIC ACID"
"ALMIT","ALMITRINE BISMESYLATE + RAUBASINE"
"ALP00","ALPHA-TOCOPHEROL (VITAMIN E) (FOR PREMATURES)"
"ALPAK","ALPHA KETOANALOGUE"
"ALPHA","ALPHA-TOCOPHERYL ACID SUCCINATE + THIAMINE MONONITRATE + PYRIDOXINE HCL + CYANOCOBALAMIN + ASCORBIC"
"ALPHT","ALPHA-TOCOPHEROL"
"ALPRA","ALPRAZOLAM"
"ALPRO","ALPROSTADIL"
"ALU00","ALUMINUM HYDROXIDE"
"ALUM1","ALUMINUM ACETATE"
"ALUM2","ALUMINUM HYDROXIDE"
"ALUM3","ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE"
"ALUM4","ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE + DIMETHICONE"
"ALUM5","ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE + OXETACAINE"
"ALUM6","ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHICONE"
"ALUM7","ALUMINUM HYDROXIDE + MAGNESIUM TRISILICATE + CALCIUM CARBONATE"
"ALUM8","ALUMINUM HYDROXIDE + MAGNESIUM TRISILICATE + CALCIUM CARBONATE + SIMETHICONE"
"ALUM9","ALUMINUM HYDROXIDE + MAGNESIUM CARBONATE"
"ALUMT","ALUMINUM HYDROXIDE + MAGNESIUM TRISILICATE + MAGNESIUM HYDROXIDE + SIMETHICONE"
"AMA35","AMINO ACIDS CRYSTALLINE 3.5% + ELECTROLYTES SOLUTION"
"AMA3P","AMINO ACIDS 3%"
"AMACI","AMINO ACIDS SOLUTION (FLUID A) + REHYDRATION SALTS SOLUTION (FLUID B)"
"AMACY","AMINO ACIDS, CRYSTALLINE STANDARD"
"AMANT","AMANTADINE"
"AMBRO","AMBROXOL"
"AMI00","AMIDOTRIZOATE (DIATRIZOATE)"
"AMI10","AMINO ACIDS IN SORBITOL"
"AMICS","AMINO ACIDS, CRYSTALLINE STANDARD"
"AMIDO","AMIDOTRIZOATE"
"AMIFO","AMIFOSTINE"
"AMIK2","AMIKACIN (AS SULFATE)"
"AMIKA","AMIKACIN"
"AMILE","AMINO ACIDS + ELECTROLYTES"
"AMIN1","AMINO ACID SOLUTIONS FOR HEPATIC FAILURE"
"AMIN2","AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT"
