"package_code","package_desc"
"
",""
"00000","N/A"
"100MB","100 ML BOTTLE"
"100ML","100 ML VIAL"
"100PC","100S"
"105ML","105 ML BOTTLE"
"10MLA","10 ML AMPUL"
"10MLB","10 ML BOTTLE"
"10MLR","10 ML RESP SOLUTION"
"10MLV","10 ML VIAL"
"10MLX","10 ML"
"10PCS","10S"
"11PCS","11S"
"120MB","120 ML BOTTLE"
"120ML","120 ML"
"125GA","1.25 G SACHET"
"12PCS","12S"
"14PCS","14S"
"150ML","150 ML"
"15MLB","15 ML BOTTLE"
"15MLR","15 ML RESP SOLUTION"
"15MLV","15 ML VIAL"
"15MLX","15 ML"
"1MLAM","1 ML AMPUL"
"1MLBT","1 ML BOTTLE"
"1MLVI","1 ML VIAL"
"1THPC","1000S"
"200PC","200S"
"20MGL","20 MG/ML AMPULE"
"20MLR","20 ML RESP SOLUTION"
"20MLV","20 ML VIAL"
"20PCS","20S"
"21PCS","21S"
"22MLB","22 ML BOTTLE"
"250MB","250 ML BOTTLE"
"250ML","250 ML"
"25MLA","2.5 ML AMPULE"
"25MLB","2.5 ML BOTTLE"
"25MLN","2.5 ML NEBULE"
"25MLR","2.5 ML RESP. SOLUTION"
"25MLV","25 ML VIAL"
"25PCS","25S"
"2MGBT","2 MG BOTTLE"
"2MLAM","2 ML AMPUL"
"2MLAV","2 ML AMPUL/VIAL"
"2MLBT","2 ML BOTTLE"
"2MLNE","2 ML NEBULE"
"2MLRS","2 ML RESP SOLUTION"
"2MLVI","2 ML VIAL"
"2P5ML","2.5 ML VIAL"
"30MLB","30 ML BOTTLE"
"30MLX","30 ML"
"30PCS","30S"
"35MLB","35 ML BOTTLE"
"39MLB","39 ML BOTTLE"
"3MLAM","3 ML AMPUL"
"4FLAP","BOX OF 4 FLAPS"
"4MLAG","4 ML BOTTLE"
"4MLAM","4 ML AMPUL"
"4MLVI","4 ML VIAL"
"500PC","500S"
"50MLB","50 ML BOTTLE"
"50MLV","50 ML VIAL"
"50PCS","50S"
"5MLAM","5 ML AMPUL"
"5MLBT","5 ML BOTTLE"
"5MLVI","5 ML VIAL"
"5PCSX","5S"
"60MLB","60 ML BOTTLE"
"60MLS","60 ML SUSPENSION"
"60MLV","60 ML VIAL"
"60MLX","60 ML"
"60PCS","60S"
"6MLVX","6 ML VIAL"
"6PCSB","6S"
"70MLB","70 ML BOTTLE"
"75MLB","75 ML BOTTLE"
"75MLV","7.5 ML VIAL"
"7MLVI","7 ML VIAL"
"8PCSX","8S"
"9PCSX","9S"
"AI001","AUTO-INJECTOR"
"AM100","AMBER BOTTLE OF 100S"
"AM25S","AMBER BOTTLE OF 25S"
"AM500","AMBER BOTTLE OF 500S"
"AM50S","AMBER BOTTLE OF 50S"
"AMBGL","AMBER GLASS"
"AMBOT","AMBER BOTTLE"
"AMBVI","AMBER VIAL"
"AMPUL","AMPULE"
"B1010","BLISTER PACK OF 10S (BOX OF 10S)"
"B1040","BLISTER PACK OF 10S (BOX OF 40S)"
"B1050","BLISTER PACK OF 10S (BOX OF 50S)"
"B1060","BLISTER PACK BY 10S (BOX OF 60S)"
"B1080","BLISTER PACK OF 10S (BOX OF 80S)"
"B10SH","BLISTER PACK OF 10S (BOX OF 100S)"
"B1412","BLISTER PACK BY 14S (BOX OF 112S)"
"B1414","BLISTER PACK OF 14S (BOX OF 140S)"
"B1428","BLISTER PACK OF 14S (BOX OF 28S)"
"B1429","BLISTER PACK OF 14S (BOX OF 294S)"
"B1515","BLISTER PACK OF 15S (BOX OF 150S)"
"B1530","BLISTER PACK OF 15S (BOX OF 30S)"
"B2040","BLISTER PACK OF 20S (BOX OF 40S)"
"B2080","BLISTER PACK OF 20S (BOX OF 80S)"
"B3060","BLISTER PACK OF 30S (BOX OF 60S)"
"B550S","BLISTER PACK BY 5S (BOX OF 100S)"
"B8120","BLISTER PACK OF 8S (BOX OF 120S)"
"BAGXX","BAG"
"BAM01","BREATH ACTUATED MDI"
"BF100","BLISTER FOIL BY 100S"
"BF250","BLISTER FOIL BY 250S"
"BF30X","BLISTER FOIL BY 30S"
"BF60S","BLISTER FOIL BY 60S"
"BFOIL","BLISTER FOIL"
"BFT10","BLISTER FOIL BY 10S"
"BFTCL","BLISTER FOIL BY 10S (BOX OF 50S)"
"BFTCX","BLISTER FOIL BY 10S (BOX OF 100S)"
"BFTLX","BLISTER FOIL BY 50S"
"BOTTL","BOTTLE"
"BOX10","BLISTER BOX OF 10"
"BOX30","BLISTER BOX OF 30"
"BOX50","BLISTER BOX OF 50"
"BOXHX","BOX OF 100S"
"BOXLX","BOX OF 50S"
"BOXTX","BOX OF 10S"
"BP100","BLISTER PACK X 100"
"BP10X","BLISTER PACK X 10"
"BP110","BLISTER PACK BY 10S (BOX OF 110S)"
"BP112","BLISTER PACK X 112"
"BP141","BLISTER PACK OF 14S (BOX OF 14S)"
"BP144","BLISTER PACK BY 14S (BOX OF 140S)"
"BP14X","BLISTER PACK X 14"
"BP150","BLISTER PACK X 150"
"BP200","BLISTER PACK X 200"
"BP202","BLISTER PACK OF 20S (BOX OF 20S)"
"BP205","BLISTER PACK OF 20S (BOX OF 5S)"
"BP20H","BLISTER PACK OF 20S (BOX OF 100S)"
"BP20L","BLISTER PACK OF 20S (BOX OF 50S)"
"BP20X","BLISTER PACK X 20"
"BP25H","BLISTER PACK OF 20S (BOX OF 500S)"
"BP294","BLISTER PACK X 294"
"BP2T2","BLISTER PACK OF 20S (BOX OF 200S)"
"BP2TH","BLISTER PACK OF 20S (BOX OF 1000S)"
"BP30X","BLISTER PACK X 30"
"BP324","BLISTER PACK OF 3S (BOX OF 24S)"
"BP330","BLISTER PACK OF 3S (BOX OF 30S)"
"BP3X3","BLISTER PACK OF 3S (BOX OF 3S)"
"BP3XX","BLISTER PACK X 3"
"BP412","BLISTER PACK OF 4S (BOX OF 12S)"
"BP420","BLISTER PACK OF 4S (BOX OF 20S)"
"BP440","BLISTER PACK OF 4S (BOX OF 40S)"
"BP460","BLISTER PACK OF 4S (BOX OF 60S)"
"BP48S","BLISTER PACK X 48"
"BP4XX","BLISTER PACK X 4"
"BP50X","BLISTER PACK X 50"
"BP510","BLISTER PACK OF 5S (BOX OF 10S)"
"BP515","BLISTER PACK BY 5S (BOX OF 15S)"
"BP520","BLISTER PACK OF 5S X 20 (BOX OF 100S)"
"BP530","BLISTER PACK BY 5S (BOX OF 30S)"
"BP550","BLISTER PACK OF 5S (BOX OF 50S)"
"BP560","BLISTER PACK BY 5S (BOX OF 60S)"
