"philpen_code","philpen_desc","color_code","id"
"4_NS_M_120-139","< 10%","green","1"
"4_NS_M_140-159","< 10%","green","2"
"4_NS_M_160-179","< 10%","green","3"
"4_S_M_120-139","< 10%","green","4"
"4_S_M_140-159","< 10%","green","5"
"4_S_M_160-179","< 10%","green","6"
"4_NS_F_120-139","< 10%","green","7"
"4_NS_F_140-159","< 10%","green","8"
"4_NS_F_160-179","< 10%","green","9"
"4_S_F_120-139","< 10%","green","10"
"4_S_F_140-159","< 10%","green","11"
"4_S_F_160-179","< 10%","green","12"
"5_NS_M_120-139","< 10%","green","13"
"5_NS_M_140-159","< 10%","green","14"
"5_NS_M_160-179","< 10%","green","15"
"5_S_M_120-139","< 10%","green","16"
"5_S_M_140-159","< 10%","green","17"
"5_NS_F_120-139","< 10%","green","18"
"5_NS_F_140-139","< 10%","green","19"
"5_NS_F_160-179","< 10%","green","20"
"5_S_F_120-139","< 10%","green","21"
"5_S_F_140-159","< 10%","green","22"
"5_S_F_160-179","< 10%","green","23"
"6_NS_M_140-159","< 10%","green","24"
"6_NS_M_120-139","< 10%","green","25"
"6_S_M_120-139","< 10%","green","26"
"6_NS_F_160-179","< 10%","green","27"
"6_NS_F_140-159","< 10%","green","28"
"6_NS_F_120-139","< 10%","green","29"
"6_S_F_140-159","< 10%","green","30"
"6_S_F_120-139","< 10%","green","31"
"7_NS_M_120-139","< 10%","green","32"
"7_NS_F_120-139","< 10%","green","33"
"7_NS_F_140-159","< 10%","green","34"
"7_S_M_120-139","< 10%","green","35"
"4_NS_M_180","10% - < 20%","yellow","36"
"4_NS_M_180","10% - < 20%","yellow","37"
"5_S_M_160-179","10% - < 20%","yellow","38"
"5_NS_M_160-179","10% - < 20%","yellow","39"
"6_S_M_140-159","10% - < 20%","yellow","40"
"6_S_F_160-179","10% - < 20%","yellow","41"
"7_NS_M_140-159","10% - < 20%","yellow","42"
"7_S_M_120-139","10% - < 20%","yellow","43"
"7_NS_F_160-179","10% - < 20%","yellow","44"
"7_NS_F_140-159","10% - < 20%","yellow","45"
"5_NS_M_180","20% - <30%","orange","46"
"5_NS_F_180","20% - <30%","orange","47"
"6_M_S_160-179","20% - <30%","orange","48"
"6_NS_F_180","20% - <30%","orange","49"
"7_NS_M_160-179","20% - <30%","orange","50"
"7_S_M_140-159","20% - <30%","orange","51"
"7_S_F_160-179","20% - <30%","orange","52"
"4_S_M_180","30% - < 40%","red","53"
"4_S_M_180","30% - < 40%","red","54"
"5_S_F_180","30% - < 40%","red","55"
"7_S_M_160-179","30% - < 40%","red","56"
"7_NS_F_180","30% - < 40%","red","57"
"5_S_M_180"," > 40%","deep red","58"
"6_NS_M_180"," > 40%","deep red","59"
"6_S_M_180","> 40%","deep red","60"
"6_S_F_180","> 40%","deep red","61"
"7_NS_M_180","> 40%","deep red","62"
"7_S_M_180","> 40%","deep red","63"
"7_S_F_180","> 40%","deep red","64"
