"facility_id","facility_name","facility_type"
"1","Tabuk City COVID-19 RT-PCR LABORATORY","Official DOH-certified laboratory"
"101782886","MANILA DOCTORS HOSPITAL","Official DOH-certified laboratory"
"101783341","DAVAO DOCTORS HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"101783893","GRAMAN MEDICAL & MATERNITY HOSPITAL INC MOLECULAR LABORATORY","Official DOH-certified laboratory"
"101785992","TARLAC PROVINCIAL HOSPITAL MOLECULAR LABORATORY","Official DOH-certified laboratory"
"101786845","STA. ANA HOSPITAL","Official DOH-certified laboratory"
"103923322","QR MEDICAL LABORATORIES INC. (VITACARE)","Official DOH-certified laboratory"
"103923410","ROXAS CITY DIAGNOSTIC LABORATORY CENTER","Official DOH-certified laboratory"
"114149834","Health Metrics","Official DOH-certified laboratory"
"114149883","IOM- Manila Health Centre Laboratory","Official DOH-certified laboratory"
"114149938","Zamboanga Del Sur Medical Center PCR Laboratory","Official DOH-certified laboratory"
"114195249","ARMY GENERAL HOSPITAL MOLECULAR LABORATORY","Official DOH-certified laboratory"
"114195336","BIOPATH CLINICAL DIAGNOSTIC INC. - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"114195428","CARDINAL SANTOS MEDICAL CENTER","Official DOH-certified laboratory"
"114195539","CEBU TB REFERENCE LABORATORY - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"114195690","THE PREMIER MOLECULAR DIAGNOSTICS","Official DOH-certified laboratory"
"114195895","UERM MOLECULAR DIAGNOSTIC LABORATORY","Official DOH-certified laboratory"
"119320313","President Ramon Magsaysay Provincial Hospital","Official DOH-certified laboratory"
"119320372","Quezon City Molecular Diagnostics Laboratory","Official DOH-certified laboratory"
"119320441","Rizal Medical Center","Official DOH-certified laboratory"
"119320510","South Super Hi Way Molecular Diagnostic Lab","Official DOH-certified laboratory"
"119320916","BioPath Clinical Diagnostic Inc. - AFRIMS","Official DOH-certified laboratory"
"119320991","PNP General Hospital","Official DOH-certified laboratory"
"12105444","AFRIMS - COLLABORATIVE MOLECULAR LABORATORY","Official DOH-certified laboratory"
"12105541","STA. ANA HOSPITAL - CLOSED SYSTEM MOLECULAR","Official DOH-certified laboratory"
"12105580","SAN MIGUEL FOUNDATION TESTING LABORATORY","Official DOH-certified laboratory"
"12105633","FE DEL MUNDO MEDICAL CENTER","Official DOH-certified laboratory"
"12105663","AMAI PAKPAK MEDICAL CENTER","Official DOH-certified laboratory"
"12105724","ILOCOS TRAINING REGIONAL MEDICAL CENTER (SAN JUAN, LA UNION)","Official DOH-certified laboratory"
"12105817","PHILIPPINE RED CROSS - LOGISTIC AND TRAINING CENTER (SUBIC, ZAMBALES)","Official DOH-certified laboratory"
"12105865","BULACAN MEDICAL CENTER","Official DOH-certified laboratory"
"12105895","PHILIPPINE RED CROSS - CLARK MOLECULAR LABORATORY (CLARK, PAMPANGA)","Official DOH-certified laboratory"
"12105909","PRIME CARE ALPHA COVID-19 TESTING LABORATORY","Official DOH-certified laboratory"
"12105969","POLYMEDIC MEDICAL PLAZA","Official DOH-certified laboratory"
"12105971","BATANGAS MEDICAL CENTER","Official DOH-certified laboratory"
"12106052","QUALIMED HOSPITAL STA.ROSA","Official DOH-certified laboratory"
"12106054","SAN PABLO DISTRICT HOSPITAL","Official DOH-certified laboratory"
"12106127","UPLB COVID-19 MOLECULAR LABORATORY","Official DOH-certified laboratory"
"121991849","BIOPATH CLINICAL DIAGNOSTIC INC. ( QUEZON CITY )","Official DOH-certified laboratory"
"122002047","Batangas Medical Center - rRT-PCR","Official DOH-certified laboratory"
"122054962","BioPath Clinical Diagnostic Inc. - AFRIMS PCR laboratory","Official DOH-certified laboratory"
"122057759","Manila Healthtek Inc","Official DOH-certified laboratory"
"124809824","Dr. Rafael S. Tumbokon Memorial Hospital","Official DOH-certified laboratory"
"124810029","Metro Iloilo Hospital and Medical Center","Official DOH-certified laboratory"
"127686794","SOUTHERN ISABELA MEDICAL CENTER","Official DOH-certified laboratory"
"127687286","CULION SANITARIUM AND GENERAL HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"127688064","WEST METRO MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"131451389","KAIROS DIAGNOSTICS LABORATORY","Official DOH-certified laboratory"
"131451587","BIOPATH CLINICAL DIAGNOSTIC INC. - AFRIMS - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"131452149","LAGUNA HOLY FAMILY HOSPITAL, INC.","Official DOH-certified laboratory"
"131453898","AMAI PAKPAK MEDICAL CENTER - rRT-PCR","Official DOH-certified laboratory"
"131456146","PHILIPPINE GENERAL HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"137353330","CARAGA REGIONAL HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"137353958","SOUTHERN PHILIPPINES MEDICAL CENTER (SPMC) - POP-UP","Official DOH-certified laboratory"
"137355018","NEGROS ORIENTAL PROVINCIAL HOSPITAL","Official DOH-certified laboratory"
"137355628","USWAG ILOILO MOLECULAR LABORATORY","Official DOH-certified laboratory"
"137358085","PHILIPPINE RED CROSS ISABELA MOLECULAR LABORATORY","Official DOH-certified laboratory"
"137358514","SAN ANTONIO CITY OF ILAGAN HOSPITAL","Official DOH-certified laboratory"
"137358732","ZUELLIG PHARMA SOLUTIONS","Official DOH-certified laboratory"
"137359272","EL ROI MOLECULAR DIAGNOSTIC LABORATORY","Official DOH-certified laboratory"
"137359744","AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER - rRT-PCR","Official DOH-certified laboratory"
"137360627","HERO LABORATORY INC.","Official DOH-certified laboratory"
"137360708","OSPA - FARMERS MEDICAL CENTER","Official DOH-certified laboratory"
"137361006","PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.","Official DOH-certified laboratory"
"137361552","FATIMA UNIVERSITY MEDICAL CENTER ANTIPOLO CORP.","Official DOH-certified laboratory"
"137361742","LIFECORE BIOINTEGRATIVE INC.","Official DOH-certified laboratory"
"137362016","Z DIAGNOSTICS","Official DOH-certified laboratory"
"143308395","BIOPATH CLINICAL DIAGNOSTICS INC. (E. RODRIGUEZ) - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"143308685","OSPITAL NG MUNTINLUPA","Official DOH-certified laboratory"
"143308778","SUPERCARE MEDICAL SERVICES, INC.","Official DOH-certified laboratory"
"143328929","MANILA DIAGNOSTIC CENTER FOR OFW INC.","Official DOH-certified laboratory"
"143328968","ROXAS MEMORIAL PROVINCIAL HOSPITAL MOLECULAR LABORATORY","Official DOH-certified laboratory"
"143329101","JT CENICA MEDICAL HEALTH SYSTEM","Official DOH-certified laboratory"
"143329174","OUR LADY OF MT. CARMEL MEDICAL CENTER MOLECULAR LABORATORY","Official DOH-certified laboratory"
"143329189","MARIA REYNA XAVIER UNIVERSITY HOSPITAL","Official DOH-certified laboratory"
"143342145","DR. PABLO O. TORRE MEMORIAL HOSPITAL","Official DOH-certified laboratory"
"143342258","PHILIPPINE RED CROSS PASSI CITY MOLECULAR LABORATORY","Official DOH-certified laboratory"
"143342284","ILOILO PROVINCIAL HOSPITAL","Official DOH-certified laboratory"
"143342362","STA. ROSA CHO - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"143342398","TARLAC PROVINCIAL HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"143342439","WESTERN VISAYAS STATE UNIVERSITY MEDICAL CENTER","Official DOH-certified laboratory"
"143342968","PASIG CITY CHILDRENS HOSPITAL CHILDS HOPE","Official DOH-certified laboratory"
"146971785","EAST AVENUE MEDICAL CENTER","Official DOH-certified laboratory"
"146972046","PANGASINAN PROVINCIAL HOSPITAL","Official DOH-certified laboratory"
"146972277","BESTCARE (PUERTO GALERA MUNICIPAL HEALTH LABORATORY) - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"146972519","PHILIPPINE RED CROSS MOLECULAR LABORATORY - CARAGA","Official DOH-certified laboratory"
"15260659","HEALTH DELIVERY SYSTEMS","Official DOH-certified laboratory"
"15260695","PHILIPPINE HEART CENTER","Official DOH-certified laboratory"
"15260707","PHILIPPINE AIRPORT DIAGNOSTIC LABORATORY","Official DOH-certified laboratory"
"15260734","QUALIMED HOSPITAL - SAN JOSE DEL MONTE","Official DOH-certified laboratory"
"15260741","PHILIPPINE RED CROSS - BATANGAS CHAPTER MOLECULAR LABORATORY","Official DOH-certified laboratory"
"15260743","QUALIMED HEALTH NETWORK - ILOILO","Official DOH-certified laboratory"
"15260745","CIUDAD MEDICAL ZAMBOANGA","Official DOH-certified laboratory"
"15260747","PARKWAY MEDICAL AND DIAGNOSTIC CENTER","Official DOH-certified laboratory"
"15260753","DR. JOSE B. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM (TALA)","Official DOH-certified laboratory"
"23745383","ST. ELIZABETH HOSPITAL","Official DOH-certified laboratory"
"23745570","CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL","Official DOH-certified laboratory"
"24227551","OSPITAL NG PALAWAN","Official DOH-certified laboratory"
"4079082","RESEARCH INSTITUTE FOR TROPICAL MEDICINE","National reference laboratory"
"4079130","SAN LAZARO HOSPITAL","Sub-national reference laboratory"
"4079187","BAGUIO GENERAL HOSPITAL MEDICAL CENTER","Sub-national reference laboratory"
"4079189","SOUTHERN PHILIPPINES MEDICAL CENTER","Sub-national reference laboratory"
"4079193","VICENTE SOTTO MEMORIAL MEDICAL CENTER","Sub-national reference laboratory"
"4079195","LUNG CENTER OF THE PHILIPPINES","Sub-national reference laboratory"
"4079221","WESTERN VISAYAS MEDICAL CENTER","Sub-national reference laboratory"
"4079226","UP NATIONAL INSTITUTES OF HEALTH","Official DOH-certified laboratory"
"4079228","BICOL REGIONAL DIAGNOSTIC AND REFERENCE LABORATORY","Official DOH-certified laboratory"
"4079230","ST LUKES MEDICAL CENTER - QUEZON CITY","Official DOH-certified laboratory"
"4079245","THE MEDICAL CITY - ORTIGAS","Official DOH-certified laboratory"
"4079247","VICTORIANO LUNA HOSPITAL","Official DOH-certified laboratory"
"4079249","DETOXICARE MOLECULAR DIAGNOSTICS LABORATORY","Official DOH-certified laboratory"
"4079251","ST LUKES MEDICAL CENTER - BGC","Official DOH-certified laboratory"
"4079253","MAKATI MEDICAL CENTER","Official DOH-certified laboratory"
"4079255","PHILIPPINES RED CROSS","Official DOH-certified laboratory"
"4079257","CHINESE GENERAL HOSPITAL","Official DOH-certified laboratory"
"4079262","PHILIPPINE GENOME CENTER","Official DOH-certified laboratory"
"4079264","PHILIPPINE RED CROSS - PLMC","Official DOH-certified laboratory"
"4079284","MARIKINA MOLECULAR DIAGNOSTIC LABORATORY","Official DOH-certified laboratory"
"4079286","SINGAPORE DIAGNOSTIC, INC.","Official DOH-certified laboratory"
"4079288","UP PGH MOLECULAR LABORATORY","Official DOH-certified laboratory"
"4079306","ASIAN HOSPITAL AND MEDICAL CENTER","Official DOH-certified laboratory"
"4079310","JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL","Official DOH-certified laboratory"
"4079312","DE LA SALLE UNIVERSITY - CAVITE","Official DOH-certified laboratory"
"4079314","ALLEGIANT REGIONAL CARE HOSPITAL","Official DOH-certified laboratory"
"4079317","ZAMBOANGA CITY MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"4079365","LUNG CENTER OF THE PHILIPPINES - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"4079367","EASTERN VISAYAS REGIONAL MEDICAL CENTER","Official DOH-certified laboratory"
"5077818","NATIONAL KIDNEY AND TRANSPLANT INSTITUE","Official DOH-certified laboratory"
"5089392","PNP CRIME LABORATORY","Official DOH-certified laboratory"
"5089586","ILOCOS TRAINING REGIONAL MEDICAL CENTER","Official DOH-certified laboratory"
"5089677","LUCENA UNITED DOCTORS HISPITAL AND MEDICAL CENTER","Official DOH-certified laboratory"
"5089947","CAGAYAN VALLEY CHD TB REFERENCE LABORATORY - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"5090019","DR JOSE B RODRIGUEZ MEMORIAL HOSPIRAL AND SANITARIUM TALA GENEXPERT LABORATORY","Official DOH-certified laboratory"
"5090150","TONDO MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"5090586","NORTHERN MINDANAO MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"5091037","COTABATO REGIONAL MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"5093468","ZAMBOANGA CITY MEDICAL CENTER - DA SATELLITE LAB","Official DOH-certified laboratory"
"5093700","DIVINE WORD HOSPITAL","Official DOH-certified laboratory"
"5093893","CEBU TB REFERENCE LABORATORY","Official DOH-certified laboratory"
"60219110","AMANG RODRIGUEZ MEMORIAL CENTER","Official DOH-certified laboratory"
"60221478","CEBU DOCTORS UNIVERSITY HOSPITAL, INC.","Official DOH-certified laboratory"
"60221708","DANIEL O. MERCADO MEDICAL CENTER","Official DOH-certified laboratory"
"60221766","DE LOS SANTOS MEDICAL CENTER","Official DOH-certified laboratory"
"60221808","MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER","Official DOH-certified laboratory"
"60221888","MARY MEDIATRIX MEDICAL CENTER","Official DOH-certified laboratory"
"60221969","NATIONAL KIDNEY AND TRANSPLANT INSTITUTE - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"60222164","PHILIPPINE CHILDRENS MEDICAL CENTER","Official DOH-certified laboratory"
"60222318","PHILIPPINE RED CROSS - CEBU CHAPTER","Official DOH-certified laboratory"
"60222541","SAN PABLO COLLEGE MEDICAL CENTER","Official DOH-certified laboratory"
"60222671","UNIVERSITY OF CEBU MEDICAL CENTER","Official DOH-certified laboratory"
"60222759","BACOLOD QUEEN OF MERCY HOSPITAL","Official DOH-certified laboratory"
"60222892","ST LUKES MEDICAL CENTER - BGC - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"60223076","THE DOCTORS HOSPITAL, INC.","Official DOH-certified laboratory"
"60223385","UNIVERSITY OF PERPETUAL HELP SYSTEM DATA","Official DOH-certified laboratory"
"60223521","CHONG HUA HOSPITAL","Official DOH-certified laboratory"
"60223749","GOVERNOR CELESTINO GALLARES MEMORIAL MEDICAL CENTER","Official DOH-certified laboratory"
"6579394","HI-PRECISION DIAGNOSTIC ( QC )","Official DOH-certified laboratory"
"6579667","TROPICAL DISEASE FOUNDATION","Official DOH-certified laboratory"
"6579768","SAFEGUARD DNA DIAGNOSTIC","Official DOH-certified laboratory"
"6579855","DAVAO ONE WORLD DIAGNOSTIC CENTER INCORPORATED","Official DOH-certified laboratory"
"6579954","BATAAN GENERAL HOSPITAL","Official DOH-certified laboratory"
"6580023","BICOL MEDICAL CENTER","Official DOH-certified laboratory"
"6580039","DAVAO REGIONAL MEDICAL CENTER","Official DOH-certified laboratory"
"6580049","PHILIPPINE RED CROSS-PORT AREA","Official DOH-certified laboratory"
"6580170","TERESITA JALANDONI PROVINCIAL HOSPITAL","Official DOH-certified laboratory"
"6580260","MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER","Official DOH-certified laboratory"
"73242461","VICTORIANO LUNA HOSPITAL - AFRIMS","Official DOH-certified laboratory"
"73243023","ILOCOS TRAINING REGIONAL MEDICAL CENTER (SAN FERNANDO, LA UNION)","Official DOH-certified laboratory"
"74457433","BUTUAN MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"74457937","CAGAYAN VALLEY MEDICAL CENTER MOLECULAR LABORATORY","Official DOH-certified laboratory"
"74458520","DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL","Official DOH-certified laboratory"
"74459086","VETERANS MEMORIAL MEDICAL CENTER","Official DOH-certified laboratory"
"8442723","GREEN CITY MEDICAL CENTER","Official DOH-certified laboratory"
"8442866","OSPITAL NG IMUS","Official DOH-certified laboratory"
"8442906","NORTHERN MINDANAO TB REGIONAL CENTER","Official DOH-certified laboratory"
"8443023","DR. ARTURO P. PINGOY MEDICAL CENTER","Official DOH-certified laboratory"
"8443055","ORIENTAL MINDORO PROVINCIAL HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"8443144","REGION 1 MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"8443169","BATAAN GENERAL HOSPITAL","Official DOH-certified laboratory"
"86263846","BULACAN MEDICAL CENTER - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"86264135","MARILAO MEDICAL AND DIAGNOSTIC CLINIC, INC.","Official DOH-certified laboratory"
"86264559","CENTRAL LUZON DOCTORS HOSPITAL","Official DOH-certified laboratory"
"86264984","PHILIPPINE RED CROSS - NEGROS OCCIDENTAL MOLECULAR LABORATORY","Official DOH-certified laboratory"
"88152918","AL MOLECULAR DIAGNOSTIC LABORATORY","Official DOH-certified laboratory"
"88153398","AMOSUP SEAMENS HOSPITAL - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"88153832","PHILIPPINE RED CROSS - MOLECULAR BIOLOGY LABORATORY","Official DOH-certified laboratory"
"88154206","BUTUAN MEDICAL CENTER","Official DOH-certified laboratory"
"88154738","CALAMBA MEDICAL CENTER","Official DOH-certified laboratory"
"88155106","BOHOL CONTAINERIZED PCR LABORATORY","Official DOH-certified laboratory"
"94678043","LANAO DEL NORTE COVID19 TESTING LABORATORY","Official DOH-certified laboratory"
"94678355","LAS PINAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER","Official DOH-certified laboratory"
"94678554","LAS PINAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER (GENEXPERT)","Official DOH-certified laboratory"
