"relation_code","relation_desc"
"AUNT","Aunt"
"BROIN","Brother-In-Law"
"BROTH","Brother"
"COLSP","Common Law Spouse"
"COUSI","Cousin"
"DAUGH","Daughter"
"FALAW","Father-In-Law"
"FATHE","Father"
"FHEAD","Head of Family"
"FRIEN","Friend"
"GNDCH","Grandchild"
"GNDFA","Grandfather"
"GNDMO","Grandmother"
"JAGUA","Jail Guard"
"MOTHE","Mother"
"MOTIN","Mother-In-Law"
"NEIGH","Neighbor"
"NEPHE","Nephew"
"NIECE","Niece"
"OTHER","Others"
"SISIN","Sister-In-Law"
"SISTE","Sister"
"SON","Son"
"SPOUS","Spouse"
"UNCLE","Uncle"
