"zipcode","citycode"
"1001","133903"
"1008","133902"
"1012","133901"
"1016","133906"
"1105","137404"
"1143","133914"
"1300","137602"
"1428","137501"
"1470","137502"
"1485","137503"
"1500","137405"
"1550","137401"
"1600","64523"
"1700","137604"
"1740","137601"
"1771","137603"
"1800","45807"
"1850","45811"
"1860","45808"
"1870","45802"
"1880","45814"
"1890","45803"
"1900","45805"
"1910","45810"
"1930","45801"
"1940","45804"
"1950","45806"
"1960","45809"
"1980","45812"
"2000","35416"
"2001","35404"
"2002","35420"
"2003","35407"
"2004","35422"
"2006","35406"
"2008","35415"
"2009","35401"
"2010","35409"
"2011","35411"
"2012","35403"
"2013","35405"
"2014","35417"
"2015","35418"
"2016","35402"
"2017","35412"
"2018","35410"
"2019","35414"
"2020","35421"
"2021","35413"
"2100","30803"
"2101","30811"
"2102","30810"
"2105","30807"
"2107","30802"
"2108","30808"
"2110","30804"
"2111","30805"
"2114","30801"
"2200","37107"
"2201","37105"
"2202","37101"
"2203","37102"
"2205","37112"
"2206","37109"
"2207","37111"
"2208","37104"
"2209","37114"
"2210","37108"
"2211","37106"
"2212","37103"
"2213","15524"
"2305","36913"
"2306","36903"
"2313","36917"
"2401","15522"
"2402","15521"
"2403","15542"
"2404","15503"
"2405","15505"
"2406","15514"
"2407","15508"
"2408","15501"
"2410","15516"
"2411","15519"
"2412","15520"
"2413","15527"
"2415","15502"
"2416","15515"
"2417","15513"
"2419","15538"
"2420","15532"
"2422","15509"
"2423","15511"
"2424","15510"
"2425","15504"
"2427","15547"
"2429","15528"
"2430","15525"
"2431","15534"
"2434","15541"
"2436","15506"
"2438","15535"
"2441","15531"
"2442","15507"
"2443","15543"
"2444","15517"
"2501","13307"
"2502","13309"
"2503","13302"
"2504","13301"
"2505","13317"
"2506","13313"
"2508","13312"
"2509","13320"
"2511","13311"
"2512","13304"
"2513","13315"
"2514","13316"
"2515","13303"
"2517","13305"
"2518","13318"
"2519","13306"
"2520","13319"
"2600","141102"
"2601","141110"
"2602","141104"
"2603","141113"
"2604","141106"
"2606","141107"
"2607","141105"
"2608","141111"
"2610","141103"
"2611","141109"
"2612","141101"
"2613","141108"
"2614","141112"
"2615","141114"
"2617","144408"
"2618","144403"
"2619","144409"
"2620","144410"
"2621","144402"
"2622","144407"
"2623","144401"
"2624","144405"
"2625","144406"
"2701","12923"
"2704","12914"
"2705","12926"
"2706","12918"
"2707","12927"
"2708","12902"
"2709","12909"
"2710","12906"
"2712","12925"
"2714","12933"
"2719","12929"
"2722","12917"
"2724","12904"
"2726","12921"
"2729","12928"
"2730","12912"
"2731","12920"
"2732","12905"
"2800","140101"
"2803","140124"
"2806","140118"
"2808","140123"
"2811","140127"
"2812","140119"
"2813","140114"
"2816","140105"
"2817","140104"
"2818","140120"
"2820","140115"
"2823","140122"
"2825","140106"
"2900","12812"
"2901","12820"
"2902","12816"
"2904","12803"
"2906","12805"
"2908","12811"
"2909","12814"
"2911","12807"
"2912","12818"
"2913","12809"
"2914","12821"
"2916","12802"
"2917","12817"
"3000","31404"
"3002","31409"
"3003","31407"
"3004","31417"
"3005","31418"
"3006","31403"
"3007","31406"
"3008","31422"
"3009","31424"
"3010","31419"
"3011","31421"
"3012","31401"
"3013","31413"
"3014","31415"
"3016","31402"
"3017","31405"
"3018","31412"
"3019","31411"
"3022","31423"
"3023","31420"
"3100","34903"
"3101","34928"
"3102","34927"
"3104","34910"
"3105","34908"
"3107","34904"
"3108","34924"
"3110","34932"
"3112","34914"
"3113","34922"
"3114","34930"
"3115","34911"
"3116","34918"
"3117","34906"
"3118","34931"
"3119","34917"
"3121","34926"
"3123","34905"
"3124","34920"
"3125","34909"
"3126","34915"
"3127","34923"
"3128","34902"
"3129","34913"
"3131","34907"
"3133","34929"
"3200","37701"
"3202","37703"
"3203","37706"
"3204","37702"
"3207","37705"
"3300","23114"
"3301","23113"
"3302","23120"
"3303","23125"
"3304","23116"
"3305","23108"
"3307","23101"
"3308","23112"
"3310","23129"
"3311","23135"
"3312","23109"
